"TOOL_URL","TOOL_IDENTIFIER","COUNTRY","CR","LANGUAGE","LR"
"//creativecommons.org/licenses/by-nc-sa/3.0/ca","CC BY-NC-SA 3.0 CA","","","",""
"//creativecommons.org/licenses/by-nd/3.0/ca","CC BY-ND 3.0 CA","","","",""
"//creativecommons.org/licenses/by-sa/3.0/ca","CC BY-SA 3.0 CA","","","",""
"//creativecommons.org/licenses/by/3.0/ch","CC BY 3.0 CH","","","",""
"//creativecommons.org/licenses/by-nc/3.0/ch","CC BY-NC 3.0 CH","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/ch","CC BY-NC-ND 3.0 CH","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/ch","CC BY-NC-SA 3.0 CH","","","",""
"//creativecommons.org/licenses/by-nd/3.0/ch","CC BY-ND 3.0 CH","","","",""
"//creativecommons.org/licenses/by-sa/3.0/ch","CC BY-SA 3.0 CH","","","",""
"//creativecommons.org/licenses/by/3.0/cl","CC BY 3.0 CL","","","",""
"//creativecommons.org/licenses/by-nc/3.0/cl","CC BY-NC 3.0 CL","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/cl","CC BY-NC-ND 3.0 CL","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/cl","CC BY-NC-SA 3.0 CL","","","",""
"//creativecommons.org/licenses/by-nd/3.0/cl","CC BY-ND 3.0 CL","","","",""
"//creativecommons.org/licenses/by-sa/3.0/cl","CC BY-SA 3.0 CL","","","",""
"//creativecommons.org/licenses/by/3.0/cn","CC BY 3.0 CN","","","",""
"//creativecommons.org/licenses/by-nc/3.0/cn","CC BY-NC 3.0 CN","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/cn","CC BY-NC-ND 3.0 CN","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/cn","CC BY-NC-SA 3.0 CN","","","",""
"//creativecommons.org/licenses/by-nd/3.0/cn","CC BY-ND 3.0 CN","","","",""
"//creativecommons.org/licenses/by-sa/3.0/cn","CC BY-SA 3.0 CN","","","",""
"//creativecommons.org/licenses/by/3.0/cr","CC BY 3.0 CR","","","",""
"//creativecommons.org/licenses/by-nc/3.0/cr","CC BY-NC 3.0 CR","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/cr","CC BY-NC-ND 3.0 CR","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/cr","CC BY-NC-SA 3.0 CR","","","",""
"//creativecommons.org/licenses/by-nd/3.0/cr","CC BY-ND 3.0 CR","","","",""
"//creativecommons.org/licenses/by-sa/3.0/cr","CC BY-SA 3.0 CR","","","",""
"//creativecommons.org/licenses/by/3.0/cz","CC BY 3.0 CZ","","","",""
"//creativecommons.org/licenses/by-nc/3.0/cz","CC BY-NC 3.0 CZ","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/cz","CC BY-NC-ND 3.0 CZ","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/cz","CC BY-NC-SA 3.0 CZ","","","",""
"//creativecommons.org/licenses/by-nd/3.0/cz","CC BY-ND 3.0 CZ","","","",""
"//creativecommons.org/licenses/by-sa/3.0/cz","CC BY-SA 3.0 CZ","","","",""
"//creativecommons.org/licenses/by/3.0/de","CC BY 3.0 DE","","","",""
"//creativecommons.org/licenses/by-nc/3.0/de","CC BY-NC 3.0 DE","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/de","CC BY-NC-ND 3.0 DE","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/de","CC BY-NC-SA 3.0 DE","","","",""
"//creativecommons.org/licenses/by-nd/3.0/de","CC BY-ND 3.0 DE","","","",""
"//creativecommons.org/licenses/by-sa/3.0/de","CC BY-SA 3.0 DE","","","",""
"//creativecommons.org/licenses/by/3.0/ec","CC BY 3.0 EC","","","",""
"//creativecommons.org/licenses/by-nc/3.0/ec","CC BY-NC 3.0 EC","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/ec","CC BY-NC-ND 3.0 EC","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/ec","CC BY-NC-SA 3.0 EC","","","",""
"//creativecommons.org/licenses/by-nd/3.0/ec","CC BY-ND 3.0 EC","","","",""
"//creativecommons.org/licenses/by-sa/3.0/ec","CC BY-SA 3.0 EC","","","",""
"//creativecommons.org/licenses/by/3.0/ee","CC BY 3.0 EE","","","",""
"//creativecommons.org/licenses/by-nc/3.0/ee","CC BY-NC 3.0 EE","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/ee","CC BY-NC-ND 3.0 EE","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/ee","CC BY-NC-SA 3.0 EE","","","",""
"//creativecommons.org/licenses/by-nd/3.0/ee","CC BY-ND 3.0 EE","","","",""
"//creativecommons.org/licenses/by-sa/3.0/ee","CC BY-SA 3.0 EE","","","",""
"//creativecommons.org/licenses/by/3.0/eg","CC BY 3.0 EG","","","",""
"//creativecommons.org/licenses/by-nc/3.0/eg","CC BY-NC 3.0 EG","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/eg","CC BY-NC-ND 3.0 EG","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/eg","CC BY-NC-SA 3.0 EG","","","",""
"//creativecommons.org/licenses/by-nd/3.0/eg","CC BY-ND 3.0 EG","","","",""
"//creativecommons.org/licenses/by-sa/3.0/eg","CC BY-SA 3.0 EG","","","",""
"//creativecommons.org/licenses/by/3.0/es","CC BY 3.0 ES","","","",""
"//creativecommons.org/licenses/by-nc/3.0/es","CC BY-NC 3.0 ES","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/es","CC BY-NC-ND 3.0 ES","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/es","CC BY-NC-SA 3.0 ES","","","",""
"//creativecommons.org/licenses/by-nd/3.0/es","CC BY-ND 3.0 ES","","","",""
"//creativecommons.org/licenses/by-sa/3.0/es","CC BY-SA 3.0 ES","","","",""
"//creativecommons.org/licenses/by/3.0/fr","CC BY 3.0 FR","","","",""
"//creativecommons.org/licenses/by-nc/3.0/fr","CC BY-NC 3.0 FR","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/fr","CC BY-NC-ND 3.0 FR","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/fr","CC BY-NC-SA 3.0 FR","","","",""
"//creativecommons.org/licenses/by-nd/3.0/fr","CC BY-ND 3.0 FR","","","",""
"//creativecommons.org/licenses/by-sa/3.0/fr","CC BY-SA 3.0 FR","","","",""
"//creativecommons.org/licenses/by/3.0/ge","CC BY 3.0 GE","","","",""
"//creativecommons.org/licenses/by-nc/3.0/ge","CC BY-NC 3.0 GE","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/ge","CC BY-NC-ND 3.0 GE","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/ge","CC BY-NC-SA 3.0 GE","","","",""
"//creativecommons.org/licenses/by-nd/3.0/ge","CC BY-ND 3.0 GE","","","",""
"//creativecommons.org/licenses/by-sa/3.0/ge","CC BY-SA 3.0 GE","","","",""
"//creativecommons.org/licenses/by/3.0/gr","CC BY 3.0 GR","","","",""
"//creativecommons.org/licenses/by-nc/3.0/gr","CC BY-NC 3.0 GR","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/gr","CC BY-NC-ND 3.0 GR","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/gr","CC BY-NC-SA 3.0 GR","","","",""
"//creativecommons.org/licenses/by-nd/3.0/gr","CC BY-ND 3.0 GR","","","",""
"//creativecommons.org/licenses/by-sa/3.0/gr","CC BY-SA 3.0 GR","","","",""
"//creativecommons.org/licenses/by/3.0/gt","CC BY 3.0 GT","","","",""
"//creativecommons.org/licenses/by-nc/3.0/gt","CC BY-NC 3.0 GT","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/gt","CC BY-NC-ND 3.0 GT","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/gt","CC BY-NC-SA 3.0 GT","","","",""
"//creativecommons.org/licenses/by-nd/3.0/gt","CC BY-ND 3.0 GT","","","",""
"//creativecommons.org/licenses/by-sa/3.0/gt","CC BY-SA 3.0 GT","","","",""
"//creativecommons.org/licenses/by/3.0/hk","CC BY 3.0 HK","","","",""
"//creativecommons.org/licenses/by-nc/3.0/hk","CC BY-NC 3.0 HK","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/hk","CC BY-NC-ND 3.0 HK","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/hk","CC BY-NC-SA 3.0 HK","","","",""
"//creativecommons.org/licenses/by-nd/3.0/hk","CC BY-ND 3.0 HK","","","",""
"//creativecommons.org/licenses/by-sa/3.0/hk","CC BY-SA 3.0 HK","","","",""
"//creativecommons.org/licenses/by/3.0/hr","CC BY 3.0 HR","","","",""
"//creativecommons.org/licenses/by-nc/3.0/hr","CC BY-NC 3.0 HR","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/hr","CC BY-NC-ND 3.0 HR","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/hr","CC BY-NC-SA 3.0 HR","","","",""
"//creativecommons.org/licenses/by-nd/3.0/hr","CC BY-ND 3.0 HR","","","",""
"//creativecommons.org/licenses/by-sa/3.0/hr","CC BY-SA 3.0 HR","","","",""
"//creativecommons.org/licenses/by/3.0/ie","CC BY 3.0 IE","","","",""
"//creativecommons.org/licenses/by-nc/3.0/ie","CC BY-NC 3.0 IE","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/ie","CC BY-NC-ND 3.0 IE","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/ie","CC BY-NC-SA 3.0 IE","","","",""
"//creativecommons.org/licenses/by-nd/3.0/ie","CC BY-ND 3.0 IE","","","",""
"//creativecommons.org/licenses/by-sa/3.0/ie","CC BY-SA 3.0 IE","","","",""
"//creativecommons.org/licenses/by/3.0/igo","CC BY 3.0 IGO","","","",""
"//creativecommons.org/licenses/by-nc/3.0/igo","CC BY-NC 3.0 IGO","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/igo","CC BY-NC-ND 3.0 IGO","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/igo","CC BY-NC-SA 3.0 IGO","","","",""
"//creativecommons.org/licenses/by-nd/3.0/igo","CC BY-ND 3.0 IGO","","","",""
"//creativecommons.org/licenses/by-sa/3.0/igo","CC BY-SA 3.0 IGO","","","",""
"//creativecommons.org/licenses/by/3.0/it","CC BY 3.0 IT","","","",""
"//creativecommons.org/licenses/by-nc/3.0/it","CC BY-NC 3.0 IT","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/it","CC BY-NC-ND 3.0 IT","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/it","CC BY-NC-SA 3.0 IT","","","",""
"//creativecommons.org/licenses/by-nd/3.0/it","CC BY-ND 3.0 IT","","","",""
"//creativecommons.org/licenses/by-sa/3.0/it","CC BY-SA 3.0 IT","","","",""
"//creativecommons.org/licenses/by/3.0/lu","CC BY 3.0 LU","","","",""
"//creativecommons.org/licenses/by-nc/3.0/lu","CC BY-NC 3.0 LU","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/lu","CC BY-NC-ND 3.0 LU","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/lu","CC BY-NC-SA 3.0 LU","","","",""
"//creativecommons.org/licenses/by-nd/3.0/lu","CC BY-ND 3.0 LU","","","",""
"//creativecommons.org/licenses/by-sa/3.0/lu","CC BY-SA 3.0 LU","","","",""
"//creativecommons.org/licenses/by/3.0/nl","CC BY 3.0 NL","","","",""
"//creativecommons.org/licenses/by-nc/3.0/nl","CC BY-NC 3.0 NL","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/nl","CC BY-NC-ND 3.0 NL","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/nl","CC BY-NC-SA 3.0 NL","","","",""
"//creativecommons.org/licenses/by-nd/3.0/nl","CC BY-ND 3.0 NL","","","",""
"//creativecommons.org/licenses/by-sa/3.0/nl","CC BY-SA 3.0 NL","","","",""
"//creativecommons.org/licenses/by/3.0/no","CC BY 3.0 NO","","","",""
"//creativecommons.org/licenses/by-nc/3.0/no","CC BY-NC 3.0 NO","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/no","CC BY-NC-ND 3.0 NO","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/no","CC BY-NC-SA 3.0 NO","","","",""
"//creativecommons.org/licenses/by-nd/3.0/no","CC BY-ND 3.0 NO","","","",""
"//creativecommons.org/licenses/by-sa/3.0/no","CC BY-SA 3.0 NO","","","",""
"//creativecommons.org/licenses/by/3.0/nz","CC BY 3.0 NZ","","","",""
"//creativecommons.org/licenses/by-nc/3.0/nz","CC BY-NC 3.0 NZ","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/nz","CC BY-NC-ND 3.0 NZ","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/nz","CC BY-NC-SA 3.0 NZ","","","",""
"//creativecommons.org/licenses/by-nd/3.0/nz","CC BY-ND 3.0 NZ","","","",""
"//creativecommons.org/licenses/by-sa/3.0/nz","CC BY-SA 3.0 NZ","","","",""
"//creativecommons.org/licenses/by/3.0/ph","CC BY 3.0 PH","","","",""
"//creativecommons.org/licenses/by-nc/3.0/ph","CC BY-NC 3.0 PH","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/ph","CC BY-NC-ND 3.0 PH","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/ph","CC BY-NC-SA 3.0 PH","","","",""
