"LICENSE_URL","LICENSE"
"https://creativecommons.org/licenses/by-nd/3.0/de","CC BY-ND 3.0 DE"
"https://creativecommons.org/licenses/by-sa/3.0/de","CC BY-SA 3.0 DE"
"https://creativecommons.org/licenses/by/3.0/ec","CC BY 3.0 EC"
"https://creativecommons.org/licenses/by-nc/3.0/ec","CC BY-NC 3.0 EC"
"https://creativecommons.org/licenses/by-nc-nd/3.0/ec","CC BY-NC-ND 3.0 EC"
"https://creativecommons.org/licenses/by-nc-sa/3.0/ec","CC BY-NC-SA 3.0 EC"
"https://creativecommons.org/licenses/by-nd/3.0/ec","CC BY-ND 3.0 EC"
"https://creativecommons.org/licenses/by-sa/3.0/ec","CC BY-SA 3.0 EC"
"https://creativecommons.org/licenses/by/3.0/ee","CC BY 3.0 EE"
"https://creativecommons.org/licenses/by-nc/3.0/ee","CC BY-NC 3.0 EE"
"https://creativecommons.org/licenses/by-nc-nd/3.0/ee","CC BY-NC-ND 3.0 EE"
"https://creativecommons.org/licenses/by-nc-sa/3.0/ee","CC BY-NC-SA 3.0 EE"
"https://creativecommons.org/licenses/by-nd/3.0/ee","CC BY-ND 3.0 EE"
"https://creativecommons.org/licenses/by-sa/3.0/ee","CC BY-SA 3.0 EE"
"https://creativecommons.org/licenses/by/3.0/eg","CC BY 3.0 EG"
"https://creativecommons.org/licenses/by-nc/3.0/eg","CC BY-NC 3.0 EG"
"https://creativecommons.org/licenses/by-nc-nd/3.0/eg","CC BY-NC-ND 3.0 EG"
"https://creativecommons.org/licenses/by-nc-sa/3.0/eg","CC BY-NC-SA 3.0 EG"
"https://creativecommons.org/licenses/by-nd/3.0/eg","CC BY-ND 3.0 EG"
"https://creativecommons.org/licenses/by-sa/3.0/eg","CC BY-SA 3.0 EG"
"https://creativecommons.org/licenses/by/3.0/es","CC BY 3.0 ES"
"https://creativecommons.org/licenses/by-nc/3.0/es","CC BY-NC 3.0 ES"
"https://creativecommons.org/licenses/by-nc-nd/3.0/es","CC BY-NC-ND 3.0 ES"
"https://creativecommons.org/licenses/by-nc-sa/3.0/es","CC BY-NC-SA 3.0 ES"
"https://creativecommons.org/licenses/by-nd/3.0/es","CC BY-ND 3.0 ES"
"https://creativecommons.org/licenses/by-sa/3.0/es","CC BY-SA 3.0 ES"
"https://creativecommons.org/licenses/by/3.0/fr","CC BY 3.0 FR"
"https://creativecommons.org/licenses/by-nc/3.0/fr","CC BY-NC 3.0 FR"
"https://creativecommons.org/licenses/by-nc-nd/3.0/fr","CC BY-NC-ND 3.0 FR"
"https://creativecommons.org/licenses/by-nc-sa/3.0/fr","CC BY-NC-SA 3.0 FR"
"https://creativecommons.org/licenses/by-nd/3.0/fr","CC BY-ND 3.0 FR"
"https://creativecommons.org/licenses/by-sa/3.0/fr","CC BY-SA 3.0 FR"
"https://creativecommons.org/licenses/by/3.0/ge","CC BY 3.0 GE"
"https://creativecommons.org/licenses/by-nc/3.0/ge","CC BY-NC 3.0 GE"
"https://creativecommons.org/licenses/by-nc-nd/3.0/ge","CC BY-NC-ND 3.0 GE"
"https://creativecommons.org/licenses/by-nc-sa/3.0/ge","CC BY-NC-SA 3.0 GE"
"https://creativecommons.org/licenses/by-nd/3.0/ge","CC BY-ND 3.0 GE"
"https://creativecommons.org/licenses/by-sa/3.0/ge","CC BY-SA 3.0 GE"
"https://creativecommons.org/licenses/by/3.0/gr","CC BY 3.0 GR"
"https://creativecommons.org/licenses/by-nc/3.0/gr","CC BY-NC 3.0 GR"
"https://creativecommons.org/licenses/by-nc-nd/3.0/gr","CC BY-NC-ND 3.0 GR"
"https://creativecommons.org/licenses/by-nc-sa/3.0/gr","CC BY-NC-SA 3.0 GR"
"https://creativecommons.org/licenses/by-nd/3.0/gr","CC BY-ND 3.0 GR"
"https://creativecommons.org/licenses/by-sa/3.0/gr","CC BY-SA 3.0 GR"
"https://creativecommons.org/licenses/by/3.0/gt","CC BY 3.0 GT"
"https://creativecommons.org/licenses/by-nc/3.0/gt","CC BY-NC 3.0 GT"
"https://creativecommons.org/licenses/by-nc-nd/3.0/gt","CC BY-NC-ND 3.0 GT"
"https://creativecommons.org/licenses/by-nc-sa/3.0/gt","CC BY-NC-SA 3.0 GT"
"https://creativecommons.org/licenses/by-nd/3.0/gt","CC BY-ND 3.0 GT"
"https://creativecommons.org/licenses/by-sa/3.0/gt","CC BY-SA 3.0 GT"
"https://creativecommons.org/licenses/by/3.0/hk","CC BY 3.0 HK"
"https://creativecommons.org/licenses/by-nc/3.0/hk","CC BY-NC 3.0 HK"
"https://creativecommons.org/licenses/by-nc-nd/3.0/hk","CC BY-NC-ND 3.0 HK"
"https://creativecommons.org/licenses/by-nc-sa/3.0/hk","CC BY-NC-SA 3.0 HK"
"https://creativecommons.org/licenses/by-nd/3.0/hk","CC BY-ND 3.0 HK"
"https://creativecommons.org/licenses/by-sa/3.0/hk","CC BY-SA 3.0 HK"
"https://creativecommons.org/licenses/by/3.0/hr","CC BY 3.0 HR"
"https://creativecommons.org/licenses/by-nc/3.0/hr","CC BY-NC 3.0 HR"
"https://creativecommons.org/licenses/by-nc-nd/3.0/hr","CC BY-NC-ND 3.0 HR"
"https://creativecommons.org/licenses/by-nc-sa/3.0/hr","CC BY-NC-SA 3.0 HR"
"https://creativecommons.org/licenses/by-nd/3.0/hr","CC BY-ND 3.0 HR"
"https://creativecommons.org/licenses/by-sa/3.0/hr","CC BY-SA 3.0 HR"
"https://creativecommons.org/licenses/by/3.0/ie","CC BY 3.0 IE"
"https://creativecommons.org/licenses/by-nc/3.0/ie","CC BY-NC 3.0 IE"
"https://creativecommons.org/licenses/by-nc-nd/3.0/ie","CC BY-NC-ND 3.0 IE"
"https://creativecommons.org/licenses/by-nc-sa/3.0/ie","CC BY-NC-SA 3.0 IE"
"https://creativecommons.org/licenses/by-nd/3.0/ie","CC BY-ND 3.0 IE"
"https://creativecommons.org/licenses/by-sa/3.0/ie","CC BY-SA 3.0 IE"
"https://creativecommons.org/licenses/by/3.0/igo","CC BY 3.0 IGO"
"https://creativecommons.org/licenses/by-nc/3.0/igo","CC BY-NC 3.0 IGO"
"https://creativecommons.org/licenses/by-nc-nd/3.0/igo","CC BY-NC-ND 3.0 IGO"
"https://creativecommons.org/licenses/by-nc-sa/3.0/igo","CC BY-NC-SA 3.0 IGO"
"https://creativecommons.org/licenses/by-nd/3.0/igo","CC BY-ND 3.0 IGO"
"https://creativecommons.org/licenses/by-sa/3.0/igo","CC BY-SA 3.0 IGO"
"https://creativecommons.org/licenses/by/3.0/it","CC BY 3.0 IT"
"https://creativecommons.org/licenses/by-nc/3.0/it","CC BY-NC 3.0 IT"
"https://creativecommons.org/licenses/by-nc-nd/3.0/it","CC BY-NC-ND 3.0 IT"
"https://creativecommons.org/licenses/by-nc-sa/3.0/it","CC BY-NC-SA 3.0 IT"
"https://creativecommons.org/licenses/by-nd/3.0/it","CC BY-ND 3.0 IT"
"https://creativecommons.org/licenses/by-sa/3.0/it","CC BY-SA 3.0 IT"
"https://creativecommons.org/licenses/by/3.0/lu","CC BY 3.0 LU"
"https://creativecommons.org/licenses/by-nc/3.0/lu","CC BY-NC 3.0 LU"
"https://creativecommons.org/licenses/by-nc-nd/3.0/lu","CC BY-NC-ND 3.0 LU"
"https://creativecommons.org/licenses/by-nc-sa/3.0/lu","CC BY-NC-SA 3.0 LU"
"https://creativecommons.org/licenses/by-nd/3.0/lu","CC BY-ND 3.0 LU"
"https://creativecommons.org/licenses/by-sa/3.0/lu","CC BY-SA 3.0 LU"
"https://creativecommons.org/licenses/by/3.0/nl","CC BY 3.0 NL"
"https://creativecommons.org/licenses/by-nc/3.0/nl","CC BY-NC 3.0 NL"
"https://creativecommons.org/licenses/by-nc-nd/3.0/nl","CC BY-NC-ND 3.0 NL"
"https://creativecommons.org/licenses/by-nc-sa/3.0/nl","CC BY-NC-SA 3.0 NL"
"https://creativecommons.org/licenses/by-nd/3.0/nl","CC BY-ND 3.0 NL"
"https://creativecommons.org/licenses/by-sa/3.0/nl","CC BY-SA 3.0 NL"
"https://creativecommons.org/licenses/by/3.0/no","CC BY 3.0 NO"
"https://creativecommons.org/licenses/by-nc/3.0/no","CC BY-NC 3.0 NO"
"https://creativecommons.org/licenses/by-nc-nd/3.0/no","CC BY-NC-ND 3.0 NO"
"https://creativecommons.org/licenses/by-nc-sa/3.0/no","CC BY-NC-SA 3.0 NO"
"https://creativecommons.org/licenses/by-nd/3.0/no","CC BY-ND 3.0 NO"
"https://creativecommons.org/licenses/by-sa/3.0/no","CC BY-SA 3.0 NO"
"https://creativecommons.org/licenses/by/3.0/nz","CC BY 3.0 NZ"
"https://creativecommons.org/licenses/by-nc/3.0/nz","CC BY-NC 3.0 NZ"
"https://creativecommons.org/licenses/by-nc-nd/3.0/nz","CC BY-NC-ND 3.0 NZ"
"https://creativecommons.org/licenses/by-nc-sa/3.0/nz","CC BY-NC-SA 3.0 NZ"
"https://creativecommons.org/licenses/by-nd/3.0/nz","CC BY-ND 3.0 NZ"
"https://creativecommons.org/licenses/by-sa/3.0/nz","CC BY-SA 3.0 NZ"
"https://creativecommons.org/licenses/by/3.0/ph","CC BY 3.0 PH"
"https://creativecommons.org/licenses/by-nc/3.0/ph","CC BY-NC 3.0 PH"
"https://creativecommons.org/licenses/by-nc-nd/3.0/ph","CC BY-NC-ND 3.0 PH"
"https://creativecommons.org/licenses/by-nc-sa/3.0/ph","CC BY-NC-SA 3.0 PH"
"https://creativecommons.org/licenses/by-nd/3.0/ph","CC BY-ND 3.0 PH"
"https://creativecommons.org/licenses/by-sa/3.0/ph","CC BY-SA 3.0 PH"
"https://creativecommons.org/licenses/by/3.0/pl","CC BY 3.0 PL"
"https://creativecommons.org/licenses/by-nc/3.0/pl","CC BY-NC 3.0 PL"
"https://creativecommons.org/licenses/by-nc-nd/3.0/pl","CC BY-NC-ND 3.0 PL"
"https://creativecommons.org/licenses/by-nc-sa/3.0/pl","CC BY-NC-SA 3.0 PL"
"https://creativecommons.org/licenses/by-nd/3.0/pl","CC BY-ND 3.0 PL"
"https://creativecommons.org/licenses/by-sa/3.0/pl","CC BY-SA 3.0 PL"
"https://creativecommons.org/licenses/by/3.0/pr","CC BY 3.0 PR"
"https://creativecommons.org/licenses/by-nc/3.0/pr","CC BY-NC 3.0 PR"
"https://creativecommons.org/licenses/by-nc-nd/3.0/pr","CC BY-NC-ND 3.0 PR"
"https://creativecommons.org/licenses/by-nc-sa/3.0/pr","CC BY-NC-SA 3.0 PR"
"https://creativecommons.org/licenses/by-nd/3.0/pr","CC BY-ND 3.0 PR"
"https://creativecommons.org/licenses/by-sa/3.0/pr","CC BY-SA 3.0 PR"
"https://creativecommons.org/licenses/by/3.0/pt","CC BY 3.0 PT"
"https://creativecommons.org/licenses/by-nc/3.0/pt","CC BY-NC 3.0 PT"
"https://creativecommons.org/licenses/by-nc-nd/3.0/pt","CC BY-NC-ND 3.0 PT"
"https://creativecommons.org/licenses/by-nc-sa/3.0/pt","CC BY-NC-SA 3.0 PT"
"https://creativecommons.org/licenses/by-nd/3.0/pt","CC BY-ND 3.0 PT"
"https://creativecommons.org/licenses/by-sa/3.0/pt","CC BY-SA 3.0 PT"
"https://creativecommons.org/licenses/by/3.0/ro","CC BY 3.0 RO"
"https://creativecommons.org/licenses/by-nc/3.0/ro","CC BY-NC 3.0 RO"
"https://creativecommons.org/licenses/by-nc-nd/3.0/ro","CC BY-NC-ND 3.0 RO"
"https://creativecommons.org/licenses/by-nc-sa/3.0/ro","CC BY-NC-SA 3.0 RO"
"https://creativecommons.org/licenses/by-nd/3.0/ro","CC BY-ND 3.0 RO"
"https://creativecommons.org/licenses/by-sa/3.0/ro","CC BY-SA 3.0 RO"
"https://creativecommons.org/licenses/by/3.0/rs","CC BY 3.0 RS"
"https://creativecommons.org/licenses/by-nc/3.0/rs","CC BY-NC 3.0 RS"
"https://creativecommons.org/licenses/by-nc-nd/3.0/rs","CC BY-NC-ND 3.0 RS"
"https://creativecommons.org/licenses/by-nc-sa/3.0/rs","CC BY-NC-SA 3.0 RS"
"https://creativecommons.org/licenses/by-nd/3.0/rs","CC BY-ND 3.0 RS"
"https://creativecommons.org/licenses/by-sa/3.0/rs","CC BY-SA 3.0 RS"
"https://creativecommons.org/licenses/by/3.0/sg","CC BY 3.0 SG"
"https://creativecommons.org/licenses/by-nc/3.0/sg","CC BY-NC 3.0 SG"
"https://creativecommons.org/licenses/by-nc-nd/3.0/sg","CC BY-NC-ND 3.0 SG"
"https://creativecommons.org/licenses/by-nc-sa/3.0/sg","CC BY-NC-SA 3.0 SG"
"https://creativecommons.org/licenses/by-nd/3.0/sg","CC BY-ND 3.0 SG"
"https://creativecommons.org/licenses/by-sa/3.0/sg","CC BY-SA 3.0 SG"
"https://creativecommons.org/licenses/by/3.0/th","CC BY 3.0 TH"
"https://creativecommons.org/licenses/by-nc/3.0/th","CC BY-NC 3.0 TH"
"https://creativecommons.org/licenses/by-nc-nd/3.0/th","CC BY-NC-ND 3.0 TH"
"https://creativecommons.org/licenses/by-nc-sa/3.0/th","CC BY-NC-SA 3.0 TH"
"https://creativecommons.org/licenses/by-nd/3.0/th","CC BY-ND 3.0 TH"
"https://creativecommons.org/licenses/by-sa/3.0/th","CC BY-SA 3.0 TH"
"https://creativecommons.org/licenses/by/3.0/tw","CC BY 3.0 TW"
"https://creativecommons.org/licenses/by-nc/3.0/tw","CC BY-NC 3.0 TW"
"https://creativecommons.org/licenses/by-nc-nd/3.0/tw","CC BY-NC-ND 3.0 TW"
"https://creativecommons.org/licenses/by-nc-sa/3.0/tw","CC BY-NC-SA 3.0 TW"
"https://creativecommons.org/licenses/by-nd/3.0/tw","CC BY-ND 3.0 TW"
"https://creativecommons.org/licenses/by-sa/3.0/tw","CC BY-SA 3.0 TW"
"https://creativecommons.org/licenses/by/3.0/ug","CC BY 3.0 UG"
"https://creativecommons.org/licenses/by-nc/3.0/ug","CC BY-NC 3.0 UG"
"https://creativecommons.org/licenses/by-nc-nd/3.0/ug","CC BY-NC-ND 3.0 UG"
"https://creativecommons.org/licenses/by-nc-sa/3.0/ug","CC BY-NC-SA 3.0 UG"
"https://creativecommons.org/licenses/by-nd/3.0/ug","CC BY-ND 3.0 UG"
"https://creativecommons.org/licenses/by-sa/3.0/ug","CC BY-SA 3.0 UG"
"https://creativecommons.org/licenses/by/3.0/us","CC BY 3.0 US"
"https://creativecommons.org/licenses/by-nc/3.0/us","CC BY-NC 3.0 US"
"https://creativecommons.org/licenses/by-nc-nd/3.0/us","CC BY-NC-ND 3.0 US"
"https://creativecommons.org/licenses/by-nc-sa/3.0/us","CC BY-NC-SA 3.0 US"
"https://creativecommons.org/licenses/by-nd/3.0/us","CC BY-ND 3.0 US"
"https://creativecommons.org/licenses/by-sa/3.0/us","CC BY-SA 3.0 US"
"https://creativecommons.org/licenses/by/3.0/ve","CC BY 3.0 VE"
"https://creativecommons.org/licenses/by-nc/3.0/ve","CC BY-NC 3.0 VE"
"https://creativecommons.org/licenses/by-nc-nd/3.0/ve","CC BY-NC-ND 3.0 VE"
"https://creativecommons.org/licenses/by-nc-sa/3.0/ve","CC BY-NC-SA 3.0 VE"
"https://creativecommons.org/licenses/by-nd/3.0/ve","CC BY-ND 3.0 VE"
"https://creativecommons.org/licenses/by-sa/3.0/ve","CC BY-SA 3.0 VE"
"https://creativecommons.org/licenses/by/3.0/vn","CC BY 3.0 VN"
"https://creativecommons.org/licenses/by-nc/3.0/vn","CC BY-NC 3.0 VN"
"https://creativecommons.org/licenses/by-nc-nd/3.0/vn","CC BY-NC-ND 3.0 VN"
"https://creativecommons.org/licenses/by-nc-sa/3.0/vn","CC BY-NC-SA 3.0 VN"
"https://creativecommons.org/licenses/by-nd/3.0/vn","CC BY-ND 3.0 VN"
"https://creativecommons.org/licenses/by-sa/3.0/vn","CC BY-SA 3.0 VN"
"https://creativecommons.org/licenses/by/3.0/za","CC BY 3.0 ZA"
"https://creativecommons.org/licenses/by-nc/3.0/za","CC BY-NC 3.0 ZA"
"https://creativecommons.org/licenses/by-nc-nd/3.0/za","CC BY-NC-ND 3.0 ZA"
"https://creativecommons.org/licenses/by-nc-sa/3.0/za","CC BY-NC-SA 3.0 ZA"
"https://creativecommons.org/licenses/by-nd/3.0/za","CC BY-ND 3.0 ZA"
"https://creativecommons.org/licenses/by-sa/3.0/za","CC BY-SA 3.0 ZA"
"https://creativecommons.org/licenses/by/2.5/ar","CC BY 2.5 AR"
"https://creativecommons.org/licenses/by-nc/2.5/ar","CC BY-NC 2.5 AR"
"https://creativecommons.org/licenses/by-nc-nd/2.5/ar","CC BY-NC-ND 2.5 AR"
"https://creativecommons.org/licenses/by-nc-sa/2.5/ar","CC BY-NC-SA 2.5 AR"
"https://creativecommons.org/licenses/by-nd/2.5/ar","CC BY-ND 2.5 AR"
"https://creativecommons.org/licenses/by-sa/2.5/ar","CC BY-SA 2.5 AR"
"https://creativecommons.org/licenses/by/2.5/au","CC BY 2.5 AU"
"https://creativecommons.org/licenses/by-nc/2.5/au","CC BY-NC 2.5 AU"
"https://creativecommons.org/licenses/by-nc-nd/2.5/au","CC BY-NC-ND 2.5 AU"
"https://creativecommons.org/licenses/by-nc-sa/2.5/au","CC BY-NC-SA 2.5 AU"
"https://creativecommons.org/licenses/by-nd/2.5/au","CC BY-ND 2.5 AU"
"https://creativecommons.org/licenses/by-sa/2.5/au","CC BY-SA 2.5 AU"
"https://creativecommons.org/licenses/by/2.5/bg","CC BY 2.5 BG"
"https://creativecommons.org/licenses/by-nc/2.5/bg","CC BY-NC 2.5 BG"
"https://creativecommons.org/licenses/by-nc-nd/2.5/bg","CC BY-NC-ND 2.5 BG"
"https://creativecommons.org/licenses/by-nc-sa/2.5/bg","CC BY-NC-SA 2.5 BG"
"https://creativecommons.org/licenses/by-nd/2.5/bg","CC BY-ND 2.5 BG"
"https://creativecommons.org/licenses/by-sa/2.5/bg","CC BY-SA 2.5 BG"
"https://creativecommons.org/licenses/by/2.5/br","CC BY 2.5 BR"
"https://creativecommons.org/licenses/by-nc/2.5/br","CC BY-NC 2.5 BR"
"https://creativecommons.org/licenses/by-nc-nd/2.5/br","CC BY-NC-ND 2.5 BR"
"https://creativecommons.org/licenses/by-nc-sa/2.5/br","CC BY-NC-SA 2.5 BR"
"https://creativecommons.org/licenses/by-nd/2.5/br","CC BY-ND 2.5 BR"
"https://creativecommons.org/licenses/by-sa/2.5/br","CC BY-SA 2.5 BR"
"https://creativecommons.org/licenses/by/2.5/ca","CC BY 2.5 CA"
"https://creativecommons.org/licenses/by-nc/2.5/ca","CC BY-NC 2.5 CA"
