"CC legal tool product","Count"
"Licenses version 4.0","1018900000"
"Licenses version 3.0","20628432000"
"Licenses version 2.x","20875323832"
"Licenses version 1.0","2207545000"
"CC0 1.0","29700000"
"Public Domain Mark 1.0","13100000"
"Certification 1.0 US","52900000"
