## Prior Verison Lisences ( BY lisences before 4.0 )

"CC legal tool","Count"
"CC BY","13232393000"
"CC BY-NC","3478532000"
"CC BY-NC-ND","2239689000"
"CC BY-NC-SA","1549258800"
"CC BY-ND","6724112000"
"CC BY-SA","6552396000"
