"PLAN_INDEX","TOOL_IDENTIFIER","COUNT"
"1","CC BY 4.0","367000000"
"2","CC BY-NC 4.0","129000000"
"3","CC BY-NC-ND 4.0","129000000"
"4","CC BY-NC-SA 4.0","55200000"
"5","CC BY-ND 4.0","102000000"
"6","CC BY-SA 4.0","168000000"
"7","PDM 1.0","8740000"
"8","CC0 1.0","25600000"
"9","CC BY 3.0","145000000"
"10","CC BY-NC 3.0","48500000"
"11","CC BY-NC-ND 3.0","21200000"
"12","CC BY-NC-SA 3.0","19900000"
"13","CC BY-ND 3.0","163000000"
"14","CC BY-SA 3.0","80000000"
"15","CC BY 2.5","196000000"
"16","CC BY-NC 2.5","45100000"
"17","CC BY-NC-ND 2.5","48000000"
"18","CC BY-NC-SA 2.5","20400000"
"19","CC BY-ND 2.5","34200000"
"20","CC BY-SA 2.5","94000000"
"21","CC BY 2.1","181000000"
"22","CC BY-NC 2.1","44300000"
"23","CC BY-NC-ND 2.1","41900000"
"24","CC BY-NC-SA 2.1","19300000"
"25","CC BY-ND 2.1","36500000"
"26","CC BY-SA 2.1","90500000"
"27","CC BY 2.0","140000000"
"28","CC BY-NC 2.0","34300000"
"29","CC BY-NC-ND 2.0","26900000"
"30","CC BY-NC-SA 2.0","15200000"
"31","CC BY-ND 2.0","25300000"
"32","CC BY-ND-NC 2.0","13500000"
"33","CC BY-SA 2.0","69500000"
"34","CC BY 1.0","178000000"
"35","CC BY-NC 1.0","34900000"
"36","CC BY-NC-SA 1.0","15000000"
"37","CC BY-ND 1.0","177000000"
"38","CC BY-ND-NC 1.0","12300000"
"39","CC BY-SA 1.0","72000000"
"40","CC BY 3.0 AM","102000000"
"41","CC BY-NC 3.0 AM","26600000"
"42","CC BY-NC-ND 3.0 AM","10000000"
"43","CC BY-NC-SA 3.0 AM","11600000"
"44","CC BY-ND 3.0 AM","109000000"
"45","CC BY-SA 3.0 AM","46700000"
"46","CC BY 3.0 AT","491000000"
"47","CC BY-NC 3.0 AT","169000000"
"48","CC BY-NC-ND 3.0 AT","22800000"
"49","CC BY-NC-SA 3.0 AT","81200000"
"50","CC BY-ND 3.0 AT","171000000"
"51","CC BY-SA 3.0 AT","264000000"
"52","CC BY 3.0 AU","175000000"
"53","CC BY-NC 3.0 AU","40000000"
"54","CC BY-NC-ND 3.0 AU","1480000"
"55","CC BY-NC-SA 3.0 AU","15600000"
"56","CC BY-ND 3.0 AU","4930000"
"57","CC BY-SA 3.0 AU","80700000"
"58","CC BY 3.0 AZ","14700000"
"59","CC BY-NC 3.0 AZ","811000"
"60","CC BY-NC-ND 3.0 AZ","332000"
"61","CC BY-NC-SA 3.0 AZ","297000"
"62","CC BY-ND 3.0 AZ","14400000"
"63","CC BY-SA 3.0 AZ","4420000"
"64","CC BY 3.0 BR","30100000"
"65","CC BY-NC 3.0 BR","8290000"
"66","CC BY-NC-ND 3.0 BR","724000"
"67","CC BY-NC-SA 3.0 BR","871000"
"68","CC BY-ND 3.0 BR","32600000"
"69","CC BY-SA 3.0 BR","15900000"
"70","CC BY 3.0 CA","93000000"
"71","CC BY-NC 3.0 CA","23900000"
"72","CC BY-NC-ND 3.0 CA","6840000"
"73","CC BY-NC-SA 3.0 CA","9580000"
"74","CC BY-ND 3.0 CA","99000000"
"75","CC BY-SA 3.0 CA","43900000"
"76","CC BY 3.0 CH","69000000"
"77","CC BY-NC 3.0 CH","16500000"
"78","CC BY-NC-ND 3.0 CH","4820000"
"79","CC BY-NC-SA 3.0 CH","5720000"
"80","CC BY-ND 3.0 CH","11500000"
"81","CC BY-SA 3.0 CH","26100000"
"82","CC BY 3.0 CL","157000000"
"83","CC BY-NC 3.0 CL","40800000"
"84","CC BY-NC-ND 3.0 CL","7490000"
"85","CC BY-NC-SA 3.0 CL","19100000"
"86","CC BY-ND 3.0 CL","3960000"
"87","CC BY-SA 3.0 CL","86200000"
"88","CC BY 3.0 CN","18800000"
"89","CC BY-NC 3.0 CN","1790000"
"90","CC BY-NC-ND 3.0 CN","385000"
"91","CC BY-NC-SA 3.0 CN","393000"
"92","CC BY-ND 3.0 CN","18800000"
"93","CC BY-SA 3.0 CN","6130000"
"94","CC BY 3.0 CR","28000000"
"95","CC BY-NC 3.0 CR","5780000"
"96","CC BY-NC-ND 3.0 CR","690000"
"97","CC BY-NC-SA 3.0 CR","747000"
"98","CC BY-ND 3.0 CR","28800000"
"99","CC BY-SA 3.0 CR","17900000"
"100","CC BY 3.0 CZ","370000"
"101","CC BY-NC 3.0 CZ","176000"
"102","CC BY-NC-ND 3.0 CZ","107000"
"103","CC BY-NC-SA 3.0 CZ","95800"
"104","CC BY-ND 3.0 CZ","381000"
"105","CC BY-SA 3.0 CZ","205000"
"106","CC BY 3.0 DE","403000000"
"107","CC BY-NC 3.0 DE","134000000"
"108","CC BY-NC-ND 3.0 DE","26600000"
"109","CC BY-NC-SA 3.0 DE","65500000"
