"PLAN_INDEX","TOOL_IDENTIFIER","LANGUAGE","COUNT"
"653","CC BY 4.0","Arabic","37200"
"654","CC BY 4.0","Bulgarian","10400"
"655","CC BY 4.0","Catalan","89900"
"656","CC BY 4.0","Chinese (Simplified)","156000"
"657","CC BY 4.0","Chinese (Traditional)","34500"
"658","CC BY 4.0","Croatian","48300"
"659","CC BY 4.0","Czech","158000"
"660","CC BY 4.0","Danish","66500"
"661","CC BY 4.0","Dutch","139000"
"662","CC BY 4.0","English","358000000"
"663","CC BY 4.0","Estonian","7610"
"664","CC BY 4.0","Finnish","59600"
"665","CC BY 4.0","French","840000"
"666","CC BY 4.0","German","4300000"
"667","CC BY 4.0","Greek","47200"
"668","CC BY 4.0","Hebrew","25300"
"669","CC BY 4.0","Hungarian","33600"
"670","CC BY 4.0","Icelandic","13800"
"671","CC BY 4.0","Indonesian","2650000"
"672","CC BY 4.0","Italian","230000"
"673","CC BY 4.0","Japanese","277000"
"674","CC BY 4.0","Korean","93800"
"675","CC BY 4.0","Latvian","28100"
"676","CC BY 4.0","Lithuanian","31400"
"677","CC BY 4.0","Norwegian","57000"
"678","CC BY 4.0","Polish","178000"
"679","CC BY 4.0","Portuguese","1050000"
"680","CC BY 4.0","Romanian","34400"
"681","CC BY 4.0","Russian","312000"
"682","CC BY 4.0","Serbian","63800"
"683","CC BY 4.0","Slovak","27200"
"684","CC BY 4.0","Slovenian","115000"
"685","CC BY 4.0","Spanish","6470000"
"686","CC BY 4.0","Swedish","83700"
"687","CC BY 4.0","Turkish","428000"
"688","CC BY-NC 4.0","Arabic","5940"
"689","CC BY-NC 4.0","Bulgarian","536"
"690","CC BY-NC 4.0","Catalan","14200"
"691","CC BY-NC 4.0","Chinese (Simplified)","27900"
"692","CC BY-NC 4.0","Chinese (Traditional)","6280"
"693","CC BY-NC 4.0","Croatian","9710"
"694","CC BY-NC 4.0","Czech","11200"
"695","CC BY-NC 4.0","Danish","9490"
"696","CC BY-NC 4.0","Dutch","29700"
"697","CC BY-NC 4.0","English","126000000"
"698","CC BY-NC 4.0","Estonian","2320"
"699","CC BY-NC 4.0","Finnish","7570"
"700","CC BY-NC 4.0","French","553000"
"701","CC BY-NC 4.0","German","86500"
"702","CC BY-NC 4.0","Greek","22800"
"703","CC BY-NC 4.0","Hebrew","520"
"704","CC BY-NC 4.0","Hungarian","5980"
"705","CC BY-NC 4.0","Icelandic","5280"
"706","CC BY-NC 4.0","Indonesian","98900"
"707","CC BY-NC 4.0","Italian","21000"
"708","CC BY-NC 4.0","Japanese","18800"
"709","CC BY-NC 4.0","Korean","42600"
"710","CC BY-NC 4.0","Latvian","5260"
"711","CC BY-NC 4.0","Lithuanian","8220"
"712","CC BY-NC 4.0","Norwegian","5460"
"713","CC BY-NC 4.0","Polish","53800"
"714","CC BY-NC 4.0","Portuguese","449000"
"715","CC BY-NC 4.0","Romanian","4340"
"716","CC BY-NC 4.0","Russian","24800"
"717","CC BY-NC 4.0","Serbian","3610"
"718","CC BY-NC 4.0","Slovak","2150"
"719","CC BY-NC 4.0","Slovenian","67800"
"720","CC BY-NC 4.0","Spanish","644000"
"721","CC BY-NC 4.0","Swedish","21600"
"722","CC BY-NC 4.0","Turkish","107000"
"723","CC BY-NC-ND 4.0","Arabic","5770"
"724","CC BY-NC-ND 4.0","Bulgarian","303"
"725","CC BY-NC-ND 4.0","Catalan","13400"
"726","CC BY-NC-ND 4.0","Chinese (Simplified)","27100"
"727","CC BY-NC-ND 4.0","Chinese (Traditional)","6010"
"728","CC BY-NC-ND 4.0","Croatian","3960"
"729","CC BY-NC-ND 4.0","Czech","5070"
"730","CC BY-NC-ND 4.0","Danish","7920"
"731","CC BY-NC-ND 4.0","Dutch","23700"
"732","CC BY-NC-ND 4.0","English","126000000"
"733","CC BY-NC-ND 4.0","Estonian","1660"
"734","CC BY-NC-ND 4.0","Finnish","5230"
"735","CC BY-NC-ND 4.0","French","298000"
"736","CC BY-NC-ND 4.0","German","67700"
"737","CC BY-NC-ND 4.0","Greek","6240"
"738","CC BY-NC-ND 4.0","Hebrew","426"
"739","CC BY-NC-ND 4.0","Hungarian","3910"
"740","CC BY-NC-ND 4.0","Icelandic","6"
"741","CC BY-NC-ND 4.0","Indonesian","64600"
"742","CC BY-NC-ND 4.0","Italian","19900"
"743","CC BY-NC-ND 4.0","Japanese","27200"
"744","CC BY-NC-ND 4.0","Korean","42300"
"745","CC BY-NC-ND 4.0","Latvian","2450"
"746","CC BY-NC-ND 4.0","Lithuanian","6190"
"747","CC BY-NC-ND 4.0","Norwegian","4030"
"748","CC BY-NC-ND 4.0","Polish","22600"
"749","CC BY-NC-ND 4.0","Portuguese","361000"
"750","CC BY-NC-ND 4.0","Romanian","1310"
"751","CC BY-NC-ND 4.0","Russian","22100"
"752","CC BY-NC-ND 4.0","Serbian","2640"
"753","CC BY-NC-ND 4.0","Slovak","678"
"754","CC BY-NC-ND 4.0","Slovenian","19000"
"755","CC BY-NC-ND 4.0","Spanish","338000"
"756","CC BY-NC-ND 4.0","Swedish","20300"
"757","CC BY-NC-ND 4.0","Turkish","51900"
"758","CC BY-NC-SA 4.0","Arabic","2190"
"759","CC BY-NC-SA 4.0","Bulgarian","268"
"760","CC BY-NC-SA 4.0","Catalan","3300"
"761","CC BY-NC-SA 4.0","Chinese (Simplified)","8330"
"762","CC BY-NC-SA 4.0","Chinese (Traditional)","797"
"763","CC BY-NC-SA 4.0","Croatian","9740"
"764","CC BY-NC-SA 4.0","Czech","2160"
"765","CC BY-NC-SA 4.0","Danish","1790"
"766","CC BY-NC-SA 4.0","Dutch","7060"
"767","CC BY-NC-SA 4.0","English","52600000"
"768","CC BY-NC-SA 4.0","Estonian","1370"
"769","CC BY-NC-SA 4.0","Finnish","1450"
"770","CC BY-NC-SA 4.0","French","366000"
"771","CC BY-NC-SA 4.0","German","38000"
"772","CC BY-NC-SA 4.0","Greek","5250"
"773","CC BY-NC-SA 4.0","Hebrew","68"
"774","CC BY-NC-SA 4.0","Hungarian","2940"
"775","CC BY-NC-SA 4.0","Icelandic","1130"
"776","CC BY-NC-SA 4.0","Indonesian","41700"
"777","CC BY-NC-SA 4.0","Italian","29100"
"778","CC BY-NC-SA 4.0","Japanese","7950"
"779","CC BY-NC-SA 4.0","Korean","10600"
"780","CC BY-NC-SA 4.0","Latvian","1590"
"781","CC BY-NC-SA 4.0","Lithuanian","440"
"782","CC BY-NC-SA 4.0","Norwegian","2080"
"783","CC BY-NC-SA 4.0","Polish","18200"
"784","CC BY-NC-SA 4.0","Portuguese","320000"
"785","CC BY-NC-SA 4.0","Romanian","1160"
"786","CC BY-NC-SA 4.0","Russian","8200"
"787","CC BY-NC-SA 4.0","Serbian","3630"
"788","CC BY-NC-SA 4.0","Slovak","2160"
"789","CC BY-NC-SA 4.0","Slovenian","1800"
"790","CC BY-NC-SA 4.0","Spanish","308000"
"791","CC BY-NC-SA 4.0","Swedish","2400"
"792","CC BY-NC-SA 4.0","Turkish","47400"
"793","CC BY-ND 4.0","Arabic","4470"
"794","CC BY-ND 4.0","Bulgarian","347"
"795","CC BY-ND 4.0","Catalan","10900"
"796","CC BY-ND 4.0","Chinese (Simplified)","32100"
"797","CC BY-ND 4.0","Chinese (Traditional)","6510"
"798","CC BY-ND 4.0","Croatian","4570"
"799","CC BY-ND 4.0","Czech","5870"
"800","CC BY-ND 4.0","Danish","7160"
"801","CC BY-ND 4.0","Dutch","99600"
"802","CC BY-ND 4.0","English","99100000"
"803","CC BY-ND 4.0","Estonian","257"
"804","CC BY-ND 4.0","Finnish","5860"
"805","CC BY-ND 4.0","French","67000"
