"TOOL_IDENTIFIER","SPDX_IDENTIFIER","COUNT"
"BSD Zero Clause License","0BSD","62316"
"CC0 1.0","CC0-1.0","317615"
"CC BY 4.0","CC-BY-4.0","99051"
"CC BY-SA 4.0","CC-BY-SA-4.0","28658"
"MIT No Attribution","MIT-0","30396"
"Unlicense","Unlicense","385923"
"Total public repositories","N/A","260020393"
