"CC legal tool","Count"
"CC DEVNATIONS","240"
"CC NC","110585000"
"CC NC-SA","43554000"
"CC ND","530000000"
"CC ND-NC","105389000"
"CC SA","239070000"
"CC NC-SAMPLING+","50100000"
"CC SAMPLING","284000000"
"CC SAMPLING+","405000000"
"CC PUBLICDOMAIN","51400000"
