"Language","Count"
"English","1016340000"
"Spanish","15085800"
"German","10798300"
"Portuguese","4117800"
"Indonesian","2392490"
"French","2325800"
"Italian","680600"
"Dutch","619000"
"Russian","615070"
"Polish","577100"
"Turkish","545410"
"Japanese","439610"
"Chinese (Simplified)","314660"
"Slovenian","278489"
"Czech","244270"
"Korean","243940"
"Swedish","219250"
"Hungarian","214590"
"Croatian","150920"
"Catalan","147470"
"Norwegian","136360"
"Serbian","130370"
"Finnish","120870"
"Greek","104560"
"Danish","99370"
"Romanian","95280"
"Chinese (Traditional)","80570"
"Lithuanian","71400"
"Arabic","67780"
"Slovak","59540"
"Latvian","50256"
"Hebrew","49863"
"Icelandic","32029"
"Bulgarian","26302"
"Estonian","25422"
