"CC legal tool product","Count"
"Licenses version 4.0","1007700000"
"Licenses version 3.0","15274719700"
"Licenses version 2.x","18269656840"
"Licenses version 1.0","1924479000"
"CC0 1.0","31800000"
"Public Domain Mark 1.0","11200000"
"Certification 1.0 US","51400000"
