"CC legal tool","Count"
"CC BY","13639418000"
"CC BY-NC","3514609000"
"CC BY-NC-ND","2225301000"
"CC BY-NC-SA","1559560300"
"CC BY-ND","6329141000"
"CC BY-SA","6433128000"
