"CC legal tool","Count"
"CC BY 4.0","378000000"
"CC BY-NC 4.0","143000000"
"CC BY-NC-ND 4.0","142000000"
"CC BY-NC-SA 4.0","58700000"
"CC BY-ND 4.0","109000000"
"CC BY-SA 4.0","177000000"
"PDM 1.0","11200000"
"CC0 1.0","31800000"
