"TOOL_IDENTIFIER","SPDX_IDENTIFIER","COUNT"
"BSD Zero Clause License","0BSD","61355"
"CC0 1.0","CC0-1.0","299077"
"CC BY 4.0","CC-BY-4.0","97341"
"CC BY-SA 4.0","CC-BY-SA-4.0","27643"
"MIT No Attribution","MIT-0","27424"
"Unlicense","Unlicense","375191"
"Total public repositories","N/A","246204334"
