"PLAN_INDEX","TOOL_IDENTIFIER","COUNT"
"1","CC BY 4.0","429000000"
"2","CC BY-NC 4.0","154000000"
"3","CC BY-NC-ND 4.0","154000000"
"4","CC BY-NC-SA 4.0","67700000"
"5","CC BY-ND 4.0","119000000"
"6","CC BY-SA 4.0","197000000"
"7","PDM 1.0","11800000"
"8","CC0 1.0","32400000"
"9","CC BY 3.0","177000000"
"10","CC BY-NC 3.0","72600000"
"11","CC BY-NC-ND 3.0","35100000"
"12","CC BY-NC-SA 3.0","28000000"
"13","CC BY-ND 3.0","195000000"
"14","CC BY-SA 3.0","102000000"
"15","CC BY 2.5","215000000"
"16","CC BY-NC 2.5","56500000"
"17","CC BY-NC-ND 2.5","60000000"
"18","CC BY-NC-SA 2.5","23900000"
"19","CC BY-ND 2.5","41900000"
"20","CC BY-SA 2.5","109000000"
"21","CC BY 2.1","200000000"
"22","CC BY-NC 2.1","56200000"
"23","CC BY-NC-ND 2.1","53600000"
"24","CC BY-NC-SA 2.1","22900000"
"25","CC BY-ND 2.1","46000000"
"26","CC BY-SA 2.1","105000000"
"27","CC BY 2.0","167000000"
"28","CC BY-NC 2.0","43500000"
"29","CC BY-NC-ND 2.0","33300000"
"30","CC BY-NC-SA 2.0","18000000"
"31","CC BY-ND 2.0","31400000"
"32","CC BY-ND-NC 2.0","17100000"
"33","CC BY-SA 2.0","84200000"
"34","CC BY 1.0","199000000"
"35","CC BY-NC 1.0","43500000"
"36","CC BY-NC-SA 1.0","17600000"
"37","CC BY-ND 1.0","200000000"
"38","CC BY-ND-NC 1.0","13400000"
"39","CC BY-SA 1.0","85100000"
"40","CC BY 3.0 AM","125000000"
"41","CC BY-NC 3.0 AM","35300000"
"42","CC BY-NC-ND 3.0 AM","14200000"
"43","CC BY-NC-SA 3.0 AM","14600000"
"44","CC BY-ND 3.0 AM","132000000"
"45","CC BY-SA 3.0 AM","60400000"
"46","CC BY 3.0 AT","571000000"
"47","CC BY-NC 3.0 AT","199000000"
"48","CC BY-NC-ND 3.0 AT","37400000"
"49","CC BY-NC-SA 3.0 AT","101000000"
"50","CC BY-ND 3.0 AT","203000000"
"51","CC BY-SA 3.0 AT","280000000"
"52","CC BY 3.0 AU","194000000"
"53","CC BY-NC 3.0 AU","51400000"
"54","CC BY-NC-ND 3.0 AU","7150000"
"55","CC BY-NC-SA 3.0 AU","19300000"
"56","CC BY-ND 3.0 AU","10200000"
"57","CC BY-SA 3.0 AU","94500000"
"58","CC BY 3.0 AZ","18500000"
"59","CC BY-NC 3.0 AZ","2660000"
"60","CC BY-NC-ND 3.0 AZ","397000"
"61","CC BY-NC-SA 3.0 AZ","323000"
"62","CC BY-ND 3.0 AZ","18100000"
"63","CC BY-SA 3.0 AZ","5720000"
"64","CC BY 3.0 BR","40600000"
"65","CC BY-NC 3.0 BR","10700000"
"66","CC BY-NC-ND 3.0 BR","917000"
"67","CC BY-NC-SA 3.0 BR","1260000"
"68","CC BY-ND 3.0 BR","44100000"
"69","CC BY-SA 3.0 BR","19500000"
"70","CC BY 3.0 CA","116000000"
"71","CC BY-NC 3.0 CA","30200000"
"72","CC BY-NC-ND 3.0 CA","9040000"
"73","CC BY-NC-SA 3.0 CA","12400000"
"74","CC BY-ND 3.0 CA","122000000"
"75","CC BY-SA 3.0 CA","57400000"
"76","CC BY 3.0 CH","85300000"
"77","CC BY-NC 3.0 CH","22200000"
"78","CC BY-NC-ND 3.0 CH","10100000"
"79","CC BY-NC-SA 3.0 CH","8010000"
"80","CC BY-ND 3.0 CH","16500000"
