"PLAN_INDEX","TOOL_IDENTIFIER","LANGUAGE","COUNT"
"765","CC BY-NC-SA 4.0","Danish","3410"
"766","CC BY-NC-SA 4.0","Dutch","9990"
"767","CC BY-NC-SA 4.0","English","64200000"
"768","CC BY-NC-SA 4.0","Estonian","1400"
"769","CC BY-NC-SA 4.0","Finnish","3540"
"770","CC BY-NC-SA 4.0","French","367000"
"771","CC BY-NC-SA 4.0","German","48500"
"772","CC BY-NC-SA 4.0","Greek","7120"
"773","CC BY-NC-SA 4.0","Hebrew","3990"
"774","CC BY-NC-SA 4.0","Hungarian","3880"
"775","CC BY-NC-SA 4.0","Icelandic","1610"
"776","CC BY-NC-SA 4.0","Indonesian","41500"
"777","CC BY-NC-SA 4.0","Italian","160000"
"778","CC BY-NC-SA 4.0","Japanese","9190"
"779","CC BY-NC-SA 4.0","Korean","18300"
"780","CC BY-NC-SA 4.0","Latvian","5430"
"781","CC BY-NC-SA 4.0","Lithuanian","846"
"782","CC BY-NC-SA 4.0","Norwegian","3320"
"783","CC BY-NC-SA 4.0","Polish","24000"
"784","CC BY-NC-SA 4.0","Portuguese","377000"
"785","CC BY-NC-SA 4.0","Romanian","1430"
"786","CC BY-NC-SA 4.0","Russian","11200"
"787","CC BY-NC-SA 4.0","Serbian","15700"
"788","CC BY-NC-SA 4.0","Slovak","3760"
"789","CC BY-NC-SA 4.0","Slovenian","4610"
"790","CC BY-NC-SA 4.0","Spanish","351000"
"791","CC BY-NC-SA 4.0","Swedish","5700"
"792","CC BY-NC-SA 4.0","Turkish","52700"
"793","CC BY-ND 4.0","Arabic","3580"
"794","CC BY-ND 4.0","Bulgarian","912"
"795","CC BY-ND 4.0","Catalan","9930"
"796","CC BY-ND 4.0","Chinese (Simplified)","31900"
"797","CC BY-ND 4.0","Chinese (Traditional)","3460"
"798","CC BY-ND 4.0","Croatian","9930"
"799","CC BY-ND 4.0","Czech","5380"
"800","CC BY-ND 4.0","Danish","6590"
"801","CC BY-ND 4.0","Dutch","115000"
"802","CC BY-ND 4.0","English","117000000"
"803","CC BY-ND 4.0","Estonian","280"
"804","CC BY-ND 4.0","Finnish","7530"
"805","CC BY-ND 4.0","French","76500"
"806","CC BY-ND 4.0","German","97000"
"807","CC BY-ND 4.0","Greek","10100"
"808","CC BY-ND 4.0","Hebrew","261"
"809","CC BY-ND 4.0","Hungarian","4570"
"810","CC BY-ND 4.0","Icelandic","8"
"811","CC BY-ND 4.0","Indonesian","99100"
"812","CC BY-ND 4.0","Italian","20800"
"813","CC BY-ND 4.0","Japanese","27300"
"814","CC BY-ND 4.0","Korean","15000"
"815","CC BY-ND 4.0","Latvian","194"
"816","CC BY-ND 4.0","Lithuanian","7460"
"817","CC BY-ND 4.0","Norwegian","4510"
"818","CC BY-ND 4.0","Polish","27100"
"819","CC BY-ND 4.0","Portuguese","114000"
"820","CC BY-ND 4.0","Romanian","3880"
"821","CC BY-ND 4.0","Russian","19400"
"822","CC BY-ND 4.0","Serbian","3140"
"823","CC BY-ND 4.0","Slovak","1470"
"824","CC BY-ND 4.0","Slovenian","68100"
"825","CC BY-ND 4.0","Spanish","541000"
"826","CC BY-ND 4.0","Swedish","13800"
"827","CC BY-ND 4.0","Turkish","30800"
"828","CC BY-SA 4.0","Arabic","16100"
"829","CC BY-SA 4.0","Bulgarian","16800"
"830","CC BY-SA 4.0","Catalan","29300"
"831","CC BY-SA 4.0","Chinese (Simplified)","67700"
"832","CC BY-SA 4.0","Chinese (Traditional)","44200"
"833","CC BY-SA 4.0","Croatian","66800"
"834","CC BY-SA 4.0","Czech","58800"
"835","CC BY-SA 4.0","Danish","22300"
"836","CC BY-SA 4.0","Dutch","91500"
"837","CC BY-SA 4.0","English","193000000"
"838","CC BY-SA 4.0","Estonian","4590"
"839","CC BY-SA 4.0","Finnish","20500"
"840","CC BY-SA 4.0","French","433000"
"841","CC BY-SA 4.0","German","3900000"
"842","CC BY-SA 4.0","Greek","25900"
"843","CC BY-SA 4.0","Hebrew","12800"
"844","CC BY-SA 4.0","Hungarian","25900"
"845","CC BY-SA 4.0","Icelandic","7010"
"846","CC BY-SA 4.0","Indonesian","263000"
"847","CC BY-SA 4.0","Italian","551000"
"848","CC BY-SA 4.0","Japanese","142000"
"849","CC BY-SA 4.0","Korean","51400"
"850","CC BY-SA 4.0","Latvian","12800"
"851","CC BY-SA 4.0","Lithuanian","10200"
"852","CC BY-SA 4.0","Norwegian","38100"
"853","CC BY-SA 4.0","Polish","155000"
"854","CC BY-SA 4.0","Portuguese","753000"
"855","CC BY-SA 4.0","Romanian","34200"
"856","CC BY-SA 4.0","Russian","142000"
"857","CC BY-SA 4.0","Serbian","80200"
"858","CC BY-SA 4.0","Slovak","30600"
"859","CC BY-SA 4.0","Slovenian","126000"
"860","CC BY-SA 4.0","Spanish","6610000"
"861","CC BY-SA 4.0","Swedish","49300"
"862","CC BY-SA 4.0","Turkish","125000"
"863","PDM 1.0","Arabic","4120"
"864","PDM 1.0","Bulgarian","9"
"865","PDM 1.0","Catalan","3480"
"866","PDM 1.0","Chinese (Simplified)","14000"
"867","PDM 1.0","Chinese (Traditional)","4480"
"868","PDM 1.0","Croatian","1920"
"869","PDM 1.0","Czech","8"
"870","PDM 1.0","Danish","9040"
"871","PDM 1.0","Dutch","60200"
"872","PDM 1.0","English","8730000"
"873","PDM 1.0","Estonian","2100"
"874","PDM 1.0","Finnish","4380"
"875","PDM 1.0","French","73000"
"876","PDM 1.0","German","72000"
"877","PDM 1.0","Greek","5290"
"878","PDM 1.0","Hebrew","1690"
"879","PDM 1.0","Hungarian","4040"
"880","PDM 1.0","Icelandic","1110"
"881","PDM 1.0","Indonesian","4720"
"882","PDM 1.0","Italian","35300"
"883","PDM 1.0","Japanese","17700"
"884","PDM 1.0","Korean","7380"
"885","PDM 1.0","Latvian","720"
"886","PDM 1.0","Lithuanian","4120"
"887","PDM 1.0","Norwegian","6280"
"888","PDM 1.0","Polish","17100"
"889","PDM 1.0","Portuguese","20200"
"890","PDM 1.0","Romanian","3870"
"891","PDM 1.0","Russian","22600"
"892","PDM 1.0","Serbian","2880"
"893","PDM 1.0","Slovak","2670"
"894","PDM 1.0","Slovenian","3830"
"895","PDM 1.0","Spanish","47400"
"896","PDM 1.0","Swedish","22300"
"897","PDM 1.0","Turkish","3960"
"898","CC0 1.0","Arabic","8210"
"899","CC0 1.0","Bulgarian","3810"
"900","CC0 1.0","Catalan","4830"
"901","CC0 1.0","Chinese (Simplified)","18600"
"902","CC0 1.0","Chinese (Traditional)","8450"
"903","CC0 1.0","Croatian","5410"
"904","CC0 1.0","Czech","21900"
"905","CC0 1.0","Danish","19100"
"906","CC0 1.0","Dutch","89400"
"907","CC0 1.0","English","30200000"
"908","CC0 1.0","Estonian","4140"
"909","CC0 1.0","Finnish","9010"
"910","CC0 1.0","French","77300"
"911","CC0 1.0","German","98900"
"912","CC0 1.0","Greek","7570"
"913","CC0 1.0","Hebrew","2980"
"914","CC0 1.0","Hungarian","8570"
"915","CC0 1.0","Icelandic","1880"
"916","CC0 1.0","Indonesian","7430"
"917","CC0 1.0","Italian","53800"
"918","CC0 1.0","Japanese","19200"
"919","CC0 1.0","Korean","8950"
"920","CC0 1.0","Latvian","1930"
"921","CC0 1.0","Lithuanian","3140"
"922","CC0 1.0","Norwegian","7400"
"923","CC0 1.0","Polish","27200"
"924","CC0 1.0","Portuguese","31800"
"925","CC0 1.0","Romanian","7060"
"926","CC0 1.0","Russian","36800"
"927","CC0 1.0","Serbian","19300"
"928","CC0 1.0","Slovak","4670"
"929","CC0 1.0","Slovenian","3690"
"930","CC0 1.0","Spanish","84100"
"931","CC0 1.0","Swedish","34500"
"932","CC0 1.0","Turkish","6390"
