"TOOL_IDENTIFIER","AUTHOR_BUCKET","COUNT"
"CC BY 4.0","1","31"
"CC BY 4.0","2","35"
"CC BY 4.0","3","29"
"CC BY 4.0","4","26"
"CC BY 4.0","5+","22"
"CC BY-NC-ND 4.0","1","5"
"CC BY-NC-ND 4.0","2","5"
"CC BY-NC-ND 4.0","3","6"
"CC BY-NC-ND 4.0","4","3"
"CC BY-NC-ND 4.0","5+","13"
"CC BY-NC-SA 4.0","1","3"
"CC BY-NC-SA 4.0","2","3"
"CC BY-NC-SA 4.0","3","1"
"CC BY-NC-SA 4.0","5+","5"
"CC BY-SA 4.0","1","2"
"CC BY-SA 4.0","2","2"
"CC BY-SA 4.0","3","1"
"CC0 1.0","1","1"
"CC0 1.0","2","5"
"CC0 1.0","4","1"
"CC0 1.0","5+","1"
