"PLAN_INDEX","TOOL_IDENTIFIER","COUNT"
"1","CC BY 4.0","391000000"
"2","CC BY-NC 4.0","137000000"
"3","CC BY-NC-ND 4.0","138000000"
"4","CC BY-NC-SA 4.0","58700000"
"5","CC BY-ND 4.0","107000000"
"6","CC BY-SA 4.0","182000000"
"7","PDM 1.0","10200000"
"8","CC0 1.0","26400000"
"9","CC BY 3.0","189000000"
"10","CC BY-NC 3.0","52000000"
"11","CC BY-NC-ND 3.0","24300000"
"12","CC BY-NC-SA 3.0","21300000"
"13","CC BY-ND 3.0","34000000"
"14","CC BY-SA 3.0","84700000"
"15","CC BY 2.5","218000000"
"16","CC BY-NC 2.5","50800000"
"17","CC BY-NC-ND 2.5","50800000"
"18","CC BY-NC-SA 2.5","21100000"
"19","CC BY-ND 2.5","37600000"
"20","CC BY-SA 2.5","99300000"
"21","CC BY 2.1","203000000"
"22","CC BY-NC 2.1","47300000"
"23","CC BY-NC-ND 2.1","47300000"
"24","CC BY-NC-SA 2.1","20800000"
"25","CC BY-ND 2.1","39000000"
"26","CC BY-SA 2.1","104000000"
"27","CC BY 2.0","149000000"
"28","CC BY-NC 2.0","35700000"
"29","CC BY-NC-ND 2.0","35600000"
"30","CC BY-NC-SA 2.0","15800000"
"31","CC BY-ND 2.0","26300000"
"32","CC BY-ND-NC 2.0","14000000"
"33","CC BY-SA 2.0","72700000"
"34","CC BY 1.0","195000000"
"35","CC BY-NC 1.0","36000000"
"36","CC BY-NC-SA 1.0","16300000"
"37","CC BY-ND 1.0","195000000"
"38","CC BY-ND-NC 1.0","13000000"
"39","CC BY-SA 1.0","79100000"
"40","CC BY 3.0 AM","114000000"
"41","CC BY-NC 3.0 AM","28400000"
"42","CC BY-NC-ND 3.0 AM","10200000"
"43","CC BY-NC-SA 3.0 AM","12600000"
"44","CC BY-ND 3.0 AM","19300000"
"45","CC BY-SA 3.0 AM","48600000"
"46","CC BY 3.0 AT","409000000"
"47","CC BY-NC 3.0 AT","192000000"
"48","CC BY-NC-ND 3.0 AT","24300000"
"49","CC BY-NC-SA 3.0 AT","86900000"
"50","CC BY-ND 3.0 AT","36000000"
"51","CC BY-SA 3.0 AT","290000000"
"52","CC BY 3.0 AU","192000000"
"53","CC BY-NC 3.0 AU","40300000"
"54","CC BY-NC-ND 3.0 AU","7200000"
"55","CC BY-NC-SA 3.0 AU","17400000"
"56","CC BY-ND 3.0 AU","26400000"
"57","CC BY-SA 3.0 AU","86900000"
"58","CC BY 3.0 AZ","14700000"
"59","CC BY-NC 3.0 AZ","754000"
"60","CC BY-NC-ND 3.0 AZ","707000"
"61","CC BY-NC-SA 3.0 AZ","304000"
"62","CC BY-ND 3.0 AZ","549000"
"63","CC BY-SA 3.0 AZ","4340000"
"64","CC BY 3.0 BR","34000000"
"65","CC BY-NC 3.0 BR","9790000"
"66","CC BY-NC-ND 3.0 BR","6830000"
"67","CC BY-NC-SA 3.0 BR","1080000"
"68","CC BY-ND 3.0 BR","30700000"
"69","CC BY-SA 3.0 BR","16400000"
"70","CC BY 3.0 CA","105000000"
"71","CC BY-NC 3.0 CA","24800000"
"72","CC BY-NC-ND 3.0 CA","7230000"
"73","CC BY-NC-SA 3.0 CA","10800000"
"74","CC BY-ND 3.0 CA","17300000"
"75","CC BY-SA 3.0 CA","46100000"
"76","CC BY 3.0 CH","72800000"
"77","CC BY-NC 3.0 CH","17500000"
"78","CC BY-NC-ND 3.0 CH","5100000"
"79","CC BY-NC-SA 3.0 CH","6120000"
"80","CC BY-ND 3.0 CH","12000000"
