"PLAN_INDEX","TOOL_IDENTIFIER","LANGUAGE","COUNT"
"653","CC BY 4.0","Arabic","35500"
"654","CC BY 4.0","Bulgarian","11000"
"655","CC BY 4.0","Catalan","103000"
"656","CC BY 4.0","Chinese (Simplified)","153000"
"657","CC BY 4.0","Chinese (Traditional)","38600"
"658","CC BY 4.0","Croatian","57200"
"659","CC BY 4.0","Czech","154000"
"660","CC BY 4.0","Danish","69400"
"661","CC BY 4.0","Dutch","127000"
"662","CC BY 4.0","English","379000000"
"663","CC BY 4.0","Estonian","7830"
"664","CC BY 4.0","Finnish","62200"
"665","CC BY 4.0","French","801000"
"666","CC BY 4.0","German","4710000"
"667","CC BY 4.0","Greek","36500"
"668","CC BY 4.0","Hebrew","28300"
"669","CC BY 4.0","Hungarian","32500"
"670","CC BY 4.0","Icelandic","13400"
"671","CC BY 4.0","Indonesian","4210000"
"672","CC BY 4.0","Italian","212000"
"673","CC BY 4.0","Japanese","237000"
"674","CC BY 4.0","Korean","102000"
"675","CC BY 4.0","Latvian","27700"
"676","CC BY 4.0","Lithuanian","32000"
"677","CC BY 4.0","Norwegian","64900"
"678","CC BY 4.0","Polish","180000"
"679","CC BY 4.0","Portuguese","1600000"
"680","CC BY 4.0","Romanian","30500"
"681","CC BY 4.0","Russian","346000"
"682","CC BY 4.0","Serbian","65800"
"683","CC BY 4.0","Slovak","27400"
"684","CC BY 4.0","Slovenian","146000"
"685","CC BY 4.0","Spanish","6410000"
"686","CC BY 4.0","Swedish","83100"
"687","CC BY 4.0","Turkish","173000"
"688","CC BY-NC 4.0","Arabic","6650"
"689","CC BY-NC 4.0","Bulgarian","609"
"690","CC BY-NC 4.0","Catalan","14200"
"691","CC BY-NC 4.0","Chinese (Simplified)","27800"
"692","CC BY-NC 4.0","Chinese (Traditional)","7960"
"693","CC BY-NC 4.0","Croatian","10100"
"694","CC BY-NC 4.0","Czech","8840"
"695","CC BY-NC 4.0","Danish","8290"
"696","CC BY-NC 4.0","Dutch","26800"
"697","CC BY-NC 4.0","English","133000000"
"698","CC BY-NC 4.0","Estonian","2280"
"699","CC BY-NC 4.0","Finnish","8850"
"700","CC BY-NC 4.0","French","566000"
