"PLAN_INDEX","TOOL_IDENTIFIER","COUNT"
"1","Creative Commons","45"
"2","CC BY","8"
"3","CC BY-NC-ND","2"
"4","CC BY-NC","3"
"5","CC BY-NC-SA","3"
"6","CC BY-SA","4"
"7","CC0","24"
