"TOOL_IDENTIFIER","SPDX_IDENTIFIER","COUNT"
"BSD Zero Clause License","0BSD","0"
"CC0 1.0","CC0-1.0","0"
"CC BY 4.0","CC-by-4.0","0"
"CC BY-SA 4.0","CC-by-SA-4.0","0"
"MIT No Attribution","MIT-0","0"
"Unlicense","Unlicense","0"
"Total public repositories","N/A","1000"
