"LANGUAGE_CODE","LANGUAGE_NAME","COUNT"
"ml","മലയാളം","87282"
"mn","монгол","26331"
"mni","ꯃꯤꯇꯩ ꯂꯣꯟ","10452"
"mnw","ဘာသာမန်","1957"
"mos","moore","1301"
"mr","मराठी","100593"
"mrj","кырык мары","10430"
"ms","Bahasa Melayu","433564"
"mt","Malti","7617"
"mus","Mvskoke","1"
"mwl","Mirandés","4280"
"my","မြန်မာဘာသာ","109712"
"myv","эрзянь","7866"
"mzn","مازِرونی","64252"
"na","Dorerin Naoero","0"
"nah","Nāhuatl","4281"
"nan","閩南語 / Bân-lâm-gí","433818"
"nap","Napulitano","14934"
"nds","Plattdüütsch","85742"
"nds-nl","Nedersaksies","8043"
"ne","नेपाली","29221"
"new","नेपाल भाषा","72588"
"ng","Oshiwambo","8"
"nia","Li Niha","1764"
"nl","Nederlands","2199179"
"nn","norsk nynorsk","176391"
"no","norsk","657421"
"nov","Novial","1878"
"nqo","ߒߞߏ","1554"
"nr","isiNdebele seSewula","266"
"nrm","Nouormand","5055"
"nso","Sesotho sa Leboa","8780"
"nup","Nupe","471"
"nv","Diné bizaad","22664"
"ny","Chi-Chewa","1099"
"oc","occitan","90269"
"olo","livvinkarjala","4617"
"om","Oromoo","1959"
"or","ଓଡ଼ିଆ","19871"
"os","ирон","21352"
"pa","ਪੰਜਾਬੀ","59115"
"pag","Pangasinan","2616"
"pam","Kapampangan","10137"
"pap","Papiamentu","4948"
"pcd","Picard","6000"
"pcm","Naijá","1503"
"pdc","Deitsch","2046"
"pfl","Pälzisch","2826"
"pi","पालि","2545"
"pih","Norfuk / Pitkern","0"
"pl","polski","1671489"
"pms","Piemontèis","70557"
"pnb","پنجابی","74626"
"pnt","Ποντιακά","488"
"ps","پښتو","20729"
"pt","português","1157363"
"pwn","pinayuanan","374"
"qu","Runa Simi","24199"
"rki","ရခိုင်","987"
"rm","rumantsch","3795"
"rmy","romani čhib","756"
"rn","ikirundi","703"
"ro","română","517057"
"roa-tara","tarandíne","9492"
"rsk","руски","897"
"ru","русский","2066862"
"rue","русиньскый","10137"
"rup","armãneashti","1388"
"rw","Ikinyarwanda","8514"
"sa","संस्कृतम्","12392"
"sah","саха тыла","17734"
"sat","ᱥᱟᱱᱛᱟᱲᱤ","13743"
"sc","sardu","7723"
"scn","sicilianu","26243"
"sco","Scots","34287"
"sd","سنڌي","19502"
"se","davvisámegiella","7904"
"sg","Sängö","355"
"sgs","žemaitėška","17274"
"sh","srpskohrvatski / српскохрватски","461117"
"shi","Taclḥit","10877"
"shn","တႆး","14060"
"si","සිංහල","24494"
"simple","Simple English","274591"
"sk","slovenčina","256043"
"skr","سرائیکی","24270"
"sl","slovenščina","195312"
"sm","Gagana Samoa","1177"
"smn","anarâškielâ","6460"
"sn","chiShona","11494"
"so","Soomaaliga","8562"
"sq","shqip","104411"
"sr","српски / srpski","711448"
"srn","Sranantongo","1129"
"ss","SiSwati","1130"
"st","Sesotho","1505"
"stq","Seeltersk","4129"
"su","Sunda","62129"
"sv","svenska","2617789"
"sw","Kiswahili","102218"
"syl","ꠍꠤꠟꠐꠤ","1190"
"szl","ślůnski","59405"
"szy","Sakizaya","2735"
"ta","தமிழ்","177466"
"tay","Tayal","2582"
"tcy","ತುಳು","2835"
"tdd","ᥖᥭᥰ ᥖᥬᥲ ᥑᥨᥒᥰ","342"
"te","తెలుగు","116252"
"tet","tetun","1379"
"tg","тоҷикӣ","115961"
"th","ไทย","176779"
"ti","ትግርኛ","335"
"tig","ትግሬ","44"
"tk","Türkmençe","7001"
"tl","Tagalog","48847"
"tly","tolışi","10023"
"tn","Setswana","2699"
"to","lea faka-Tonga","2022"
"tpi","Tok Pisin","1406"
"tr","Türkçe","648979"
"trv","Seediq","1201"
"ts","Xitsonga","950"
"tt","татарча / tatarça","560252"
"tum","chiTumbuka","18792"
"tw","Twi","4619"
"ty","reo tahiti","1249"
"tyv","тыва дыл","3911"
"udm","удмурт","5714"
"ug","ئۇيغۇرچە / Uyghurche","9606"
"uk","українська","1393586"
"ur","اردو","233355"
"uz","oʻzbekcha / ўзбекча","308110"
"ve","Tshivenda","822"
"vec","vèneto","69498"
"vep","vepsän kel’","7064"
