"Data_source","Total_objects"
"Anacostia Community Museum Archives","18375"
"Archives Center, National Museum of American History","724974"
"Archives of American Art","5018736"
"Archives of American Gardens","69180"
"Catalog of American Portraits","171083"
"Cooper Hewitt, Smithsonian Design Museum","305273"
"Eliot Elisofon Photographic Archives, National Museum of African Art","128451"
"Hirshhorn Museum and Sculpture Garden","25458"
"Human Studies Film Archives","8775"
"NMNH - Anthropology Dept.","497756"
"NMNH - Botany Dept.","4567230"
"NMNH - Education & Outreach","6473"
"NMNH - Entomology Dept.","750550"
"NMNH - Invertebrate Zoology Dept.","2015174"
"NMNH - Mineral Sciences Dept.","465434"
"NMNH - Paleobiology Dept.","746008"
"NMNH - Vertebrate Zoology - Birds Division","635283"
"NMNH - Vertebrate Zoology - Fishes Division","502849"
"NMNH - Vertebrate Zoology - Herpetology Division","632073"
"NMNH - Vertebrate Zoology - Mammals Division","4263"
"National Air and Space Museum Archives","247166"
"National Anthropological Archives","258320"
"National Museum of African American History and Culture","4395571"
"National Museum of African Art","128895"
"National Museum of American History","2921458"
"National Museum of Asian Art","4505639"
"National Museum of Asian Art Archives","36845"
"National Museum of the American Indian","33609"
"National Postal Museum","134822"
"National Postal Museum Archives","1426"
"National Zoo","5931"
"Photograph Study Collection, Smithsonian American Art Museum","362193"
"Ralph Rinzler Folklife Archives and Collections","98199"
"Smithsonian American Art Museum, Research and Scholars Center","410"
"Smithsonian Field Book Project","11248"
"Smithsonian Gardens","7522"
"Smithsonian Institution Archives","1558296"
"Smithsonian Libraries","34577"
"Smithsonian Libraries and Archives","104811"
