"CC legal tool","Count"
"CC BY 4.0","394000000"
"CC BY-NC 4.0","165000000"
"CC BY-NC-ND 4.0","166000000"
"CC BY-NC-SA 4.0","66400000"
"CC BY-ND 4.0","394000000"
"CC BY-SA 4.0","201000000"
"PDM 1.0","10400000"
"CC0 1.0","25700000"
