"Language","Count"
"Northern Luri","1"
"Muscogee","1"
"Sichuan Yi","3"
"Hiri Motu","3"
"Marshallese","4"
"Kuanyama","4"
"Choctaw","6"
"Ndonga","8"
"Tigre","44"
"West Coast Bajau","236"
