"CC legal tool","Count"
"CC DEVNATIONS","98"
"CC NC","58156000"
"CC NC-SA","24726000"
"CC NC-SAMPLING+","39300000"
"CC ND","305100000"
"CC ND-NC","58671000"
"CC SA","122160000"
"CC SAMPLING","186400000"
"CC SAMPLING+","281000000"
"CERTIFICATION","42756000"
