"CC legal tool","Count"
"CC BY","11392666000"
"CC BY-NC","3538391000"
"CC BY-NC-ND","2305001000"
"CC BY-NC-SA","1533711400"
"CC BY-ND","8918805000"
"CC BY-SA","6324006000"
