"Language","Count"
"English","7165056"
"Cebuano","6115167"
"German","3111152"
"French","2749887"
"Swedish","2622850"
"Dutch","2216359"
"Spanish","2105870"
"Russian","2094465"
"Italian","1964094"
"Polish","1690698"
