"CC legal tool product","Count"
"Licenses version 4.0","1386400000"
"Licenses version 3.0","14838416400"
"Licenses version 2.x","18573452098"
"Licenses version 1.0","1718981000"
"CC0 1.0","25700000"
"Public Domain Mark 1.0","10400000"
"Certification 1.0 US","0"
