"Language","Count"
"English","1326730000"
"Spanish","16597400"
"Indonesian","11102530"
"German","8515300"
"French","4245700"
"Portuguese","3976200"
"Russian","1330400"
"Italian","913300"
"Japanese","780730"
"Turkish","729680"
"Polish","651800"
"Slovenian","628450"
"Chinese (Simplified)","525650"
"Dutch","354800"
"Korean","344900"
"Catalan","338890"
"Czech","334930"
"Serbian","244750"
"Swedish","237410"
"Croatian","220090"
"Finnish","204340"
"Norwegian","190430"
"Danish","177561"
"Arabic","147020"
"Greek","130460"
"Hebrew","124892"
"Chinese (Traditional)","111650"
"Romanian","105220"
"Latvian","97410"
"Hungarian","97340"
"Lithuanian","97059"
"Slovak","93480"
"Icelandic","58353"
"Bulgarian","51260"
"Estonian","36440"
