LICENSE TYPE,Document Count
CC,10030630
CC-BY,2409199
CC-BY-NC,1618926
CC-BY-NC-ND,2865444
CC-BY-NC-SA,769787
CC-BY-ND,1429611
CC-BY-SA,741513
CC0,196149
