LICENSE TYPE,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114
all,502000000,26100000,51000000,80200000,130000000,169000000,215000000,231000000,273000000,334000000,319000000,353000000,371000000,408000000,424000000,432000000,465000000,467000000,406000000,440000000
licenses/by/1.0,87300000,202000,4480000,11900000,16900000,20800000,27400000,32800000,40200000,46000000,56000000,54100000,56100000,57100000,71500000,66200000,61600000,67700000,65100000,65200000
licenses/by-nc/1.0,25300000,60400,125000,215000,312000,397000,9380000,11300000,12700000,13500000,15600000,16600000,17900000,19100000,17600000,19100000,19000000,19200000,20200000,759000
licenses/by-nc-sa/1.0,7140000,24400,49900,93600,119000,167000,181000,213000,219000,245000,269000,266000,273000,286000,278000,281000,275000,290000,292000,291000
licenses/by-nd/1.0,99100000,225000,5390000,12800000,19500000,26200000,36600000,38800000,44800000,49900000,52300000,71400000,61100000,71800000,73700000,65900000,73600000,74500000,78400000,76100000
licenses/by-nd-nc/1.0,32500000,60400,132000,228000,367000,365000,8800000,11300000,13700000,16300000,17300000,16600000,20800000,18900000,17600000,17900000,23500000,21300000,18500000,19400000
licenses/by-sa/1.0,42000000,96300,193000,336000,8450000,11500000,14200000,17200000,18800000,22800000,22600000,25100000,30200000,27800000,27200000,27400000,29400000,28200000,27200000,27300000
licenses/nc/1.0,26000000,59500,125000,225000,297000,370000,9570000,11700000,12800000,14500000,16300000,16500000,16200000,18000000,17700000,17400000,20100000,18100000,18500000,18500000
licenses/nc-sa/1.0,7480000,25900,58400,91700,124000,155000,188000,210000,244000,254000,255000,274000,270000,299000,289000,304000,296000,300000,326000,303000
licenses/nc-sampling+/1.0,2110,60,110,162,208,250,285,330,367,409,430,463,459,464,478,483,491,495,594,538
licenses/nd/1.0,110000000,246000,4390000,12900000,19400000,24800000,33000000,39100000,48000000,54500000,58200000,58600000,61200000,72200000,70100000,60500000,67400000,71500000,67600000,68900000
licenses/nd-nc/1.0,26600000,64000,143000,215000,294000,403000,12400000,11200000,13600000,15000000,17200000,18200000,17700000,17300000,17600000,17300000,17600000,18500000,19300000,20200000
licenses/sa/1.0,43100000,103000,212000,353000,8230000,11000000,14900000,16000000,19900000,21800000,24800000,25500000,26000000,29300000,28400000,27600000,28100000,28300000,30300000,30000000
licenses/sampling/1.0,61200000,139000,304000,10100000,13000000,18400000,22400000,27700000,32200000,38100000,40700000,43200000,45600000,46700000,49400000,51000000,54100000,49700000,49900000,50300000
licenses/sampling+/1.0,5930,154,416,647,969,920,1160,1080,1160,1250,1300,1340,1560,1570,1520,1400,1610,1780,1470,1560
licenses/by/2.0,65700000,214000,3790000,10800000,14500000,17500000,21500000,26000000,29500000,33300000,36600000,43000000,38500000,39500000,43000000,43200000,39900000,48600000,45100000,46500000
licenses/by-nc/2.0,20700000,50500,113000,191000,241000,313000,341000,400000,1470000,9470000,10900000,12600000,11400000,11900000,12800000,11700000,11900000,13200000,12100000,12800000
licenses/by-nc-nd/2.0,20600000,50400,106000,196000,250000,313000,432000,412000,1720000,10900000,11300000,12500000,11800000,12500000,12200000,13600000,11200000,11800000,12800000,12100000
licenses/by-nc-sa/2.0,2750000,25300,47300,86400,102000,134000,153000,162000,168000,209000,203000,218000,210000,216000,251000,222000,214000,229000,228000,252000
licenses/by-nd/2.0,70300000,220000,4100000,12800000,15100000,21700000,23200000,25600000,36900000,38200000,34400000,38300000,48400000,49600000,48100000,48600000,50500000,48400000,46100000,49900000
licenses/by-nd-nc/2.0,21000000,60500,97000,181000,219000,281000,332000,382000,2410000,9400000,10900000,11400000,11000000,12000000,11800000,737000,11600000,12600000,12300000,12400000
licenses/by-sa/2.0,32200000,108000,208000,312000,5040000,9360000,11800000,12500000,13600000,15500000,18100000,18800000,17700000,19100000,19300000,20600000,19200000,20200000,20900000,20100000
licenses/devnations/2.0,62,0,0,0,0,1,1,2,2,3,3,3,3,3,4,5,5,5,5,5
licenses/nc/2.0,19800000,46100,104000,186000,219000,282000,334000,357000,3530000,9650000,10700000,11000000,10700000,11800000,11200000,12200000,11800000,13200000,11900000,13200000
licenses/nc-sa/2.0,2640000,21200,43600,71300,97600,121000,146000,159000,169000,189000,200000,198000,220000,206000,209000,221000,222000,226000,229000,221000
licenses/nd/2.0,75700000,213000,3050000,12900000,14500000,20700000,24400000,26800000,30100000,36400000,44400000,43200000,46000000,50800000,44000000,46500000,59500000,48300000,60100000,52500000
licenses/nd-nc/2.0,22400000,57400,109000,202000,270000,310000,421000,449000,3580000,11900000,11300000,11300000,12800000,13700000,13400000,14900000,12700000,14500000,13800000,15700000
licenses/sa/2.0,34200000,104000,247000,315000,5350000,10300000,12100000,13000000,14900000,15400000,17200000,17500000,19500000,19800000,21400000,20600000,22900000,20300000,19700000,20800000
licenses/by/2.1,63900000,238000,8190000,12800000,16000000,21300000,29700000,30100000,35800000,44800000,44800000,47000000,50800000,47500000,53100000,48700000,51400000,53700000,54100000,49700000
licenses/by-nc/2.1,26400000,73200,145000,276000,329000,5800000,11300000,12800000,15000000,15800000,16000000,16700000,18600000,17400000,18200000,19400000,19700000,18000000,21000000,18100000
licenses/by-nc-nd/2.1,25400000,74500,145000,267000,345000,4770000,12000000,13000000,13500000,17600000,16000000,18700000,19600000,18900000,17600000,19300000,17900000,18900000,17900000,19000000
