LICENSE TYPE,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114
all,425000000,30000000,54000000,96000000,118000000,156000000,196000000,218000000,247000000,269000000,352000000,334000000,342000000,335000000,330000000,336000000,325000000,376000000,374000000,349000000
licenses/by/1.0,85400000,196000,3640000,11800000,16100000,22000000,33200000,36000000,40700000,47300000,50900000,59600000,61100000,62200000,61200000,64300000,63500000,63900000,64100000,68300000
licenses/by-nc/1.0,26400000,61600,138000,238000,313000,361000,9360000,12000000,13800000,14800000,15100000,16900000,17800000,17700000,20900000,19000000,19400000,18600000,18700000,753000
licenses/by-nc-sa/1.0,6660000,25000,49300,84800,124000,151000,182000,194000,216000,244000,254000,254000,283000,266000,323000,282000,299000,288000,279000,342000
licenses/by-nd/1.0,87700000,231000,4400000,12900000,16400000,22000000,31900000,36300000,44600000,53100000,58200000,58500000,61200000,62600000,64000000,63000000,65700000,67600000,67400000,67700000
licenses/by-sa/1.0,39000000,104000,197000,367000,8360000,11400000,15700000,17400000,22500000,22300000,24400000,24800000,27400000,28200000,28800000,27600000,28400000,31200000,31900000,33900000
licenses/nc/1.0,26500000,67000,127000,204000,279000,351000,9220000,11800000,12900000,16500000,14900000,17200000,17600000,17600000,17900000,17900000,19200000,17700000,18600000,17900000
licenses/nc-sa/1.0,7000000,28700,51400,90500,119000,163000,189000,213000,230000,240000,265000,274000,305000,285000,275000,348000,304000,285000,327000,302000
licenses/nc-sampling+/1.0,21500000,48400,107000,176000,242000,319000,374000,3180000,10900000,12500000,13500000,13700000,14000000,14500000,13900000,13900000,15600000,15000000,15000000,15200000
licenses/nd/1.0,80600000,233000,4000000,12300000,18000000,21800000,29000000,37800000,42800000,47600000,55200000,63500000,61200000,59800000,67500000,72500000,63000000,78400000,66400000,67300000
licenses/nd-nc/1.0,25400000,64200,157000,225000,336000,405000,469000,13500000,13600000,15800000,18200000,19500000,16800000,20100000,19600000,17900000,18900000,18500000,19600000,20400000
licenses/sa/1.0,42900000,109000,231000,367000,8310000,12700000,15300000,17600000,19700000,24500000,26400000,25700000,26600000,28100000,28900000,28000000,29700000,33000000,30100000,33500000
licenses/sampling/1.0,66900000,148000,310000,9600000,14100000,17900000,23700000,29600000,33600000,40000000,46400000,45000000,51700000,48200000,49400000,56100000,56200000,54200000,54800000,52200000
licenses/sampling+/1.0,66800000,145000,296000,10100000,14300000,17900000,23800000,31200000,33500000,38600000,46100000,43800000,49300000,50900000,50800000,49900000,51300000,51600000,56700000,51900000
licenses/by/2.0,69700000,241000,3820000,11800000,15400000,17300000,22600000,26200000,32000000,39400000,37100000,43400000,39700000,40500000,47500000,42100000,46600000,47000000,46200000,47600000
licenses/by-nc/2.0,23700000,62700,110000,189000,264000,312000,355000,441000,599000,11000000,11400000,12000000,13200000,12800000,12900000,15400000,13900000,14800000,13400000,14100000
licenses/by-nc-nd/2.0,21400000,55300,108000,204000,229000,345000,354000,467000,2260000,8940000,11900000,12300000,13000000,12600000,13700000,13900000,14600000,752000,14800000,15000000
licenses/by-nc-sa/2.0,1560000,24300,44000,77200,103000,125000,146000,171000,168000,198000,198000,208000,210000,224000,225000,248000,260000,217000,237000,230000
licenses/by-nd/2.0,75100000,246000,3010000,12900000,16000000,20800000,24600000,28300000,34800000,40600000,40000000,41400000,44100000,43000000,45900000,49200000,44600000,54000000,60800000,53000000
licenses/by-nd-nc/2.0,24800000,51800,123000,193000,249000,322000,437000,439000,2780000,11700000,11500000,12500000,11800000,12800000,13500000,12900000,13200000,14700000,14000000,13400000
licenses/by-sa/2.0,31100000,103000,201000,314000,4610000,9340000,11600000,12600000,14700000,15300000,18200000,17600000,18000000,20200000,18900000,19000000,19400000,19800000,21000000,20300000
licenses/devnations/2.0,141,1,0,0,0,1,1,2,2,3,3,3,3,3,4,5,5,5,5,5
licenses/nc/2.0,21900000,53700,115000,173000,233000,291000,329000,403000,5190000,9590000,10400000,13900000,12100000,11600000,12000000,13500000,12900000,11900000,12100000,13400000
licenses/nc-sa/2.0,2840000,21500,44100,76700,95000,125000,152000,170000,187000,207000,200000,228000,240000,236000,237000,232000,236000,240000,230000,231000
licenses/nd/2.0,67800000,198000,2010000,12100000,15200000,18900000,24700000,27200000,28700000,35100000,43000000,36900000,41300000,47600000,44600000,40200000,46100000,48500000,42700000,51200000
licenses/nd-nc/2.0,19000000,57400,118000,176000,268000,337000,381000,404000,4330000,11900000,11700000,12200000,11600000,12400000,13400000,12000000,14300000,13900000,13700000,13900000
licenses/sa/2.0,37700000,109000,228000,336000,4550000,9770000,11700000,13100000,14800000,16200000,16800000,18300000,18100000,18500000,19900000,18900000,19400000,20600000,20900000,21300000
licenses/by/2.1,66100000,246000,8190000,13400000,18500000,22300000,31400000,34800000,36900000,45100000,46900000,49300000,53600000,49200000,52600000,61800000,53400000,57000000,49300000,59900000
licenses/by-nc/2.1,24600000,64000,148000,257000,400000,2730000,10400000,13000000,14600000,15400000,15400000,17900000,18200000,16900000,17700000,18900000,17900000,22300000,18400000,19300000
licenses/by-nc-nd/2.1,28200000,80200,160000,246000,357000,2510000,11900000,13300000,18000000,709000,18900000,762000,18900000,18200000,20800000,20500000,18000000,21300000,22800000,19500000
licenses/by-nc-sa/2.1,8510000,31700,65400,116000,149000,184000,209000,231000,290000,309000,291000,289000,322000,321000,345000,325000,329000,317000,319000,322000
licenses/by-nd/2.1,63200000,252000,8890000,13400000,17600000,29200000,30000000,34300000,40200000,48900000,44100000,50800000,55100000,59600000,57300000,52700000,55700000,55700000,54000000,59500000
licenses/by-sa/2.1,34500000,114000,230000,432000,10600000,13500000,16300000,18300000,21000000,21900000,24000000,23000000,24500000,25900000,25200000,23100000,25800000,25500000,27200000,27200000
licenses/by/2.5,73500000,288000,6770000,14600000,16700000,21000000,27200000,33100000,41100000,44300000,48800000,52300000,54200000,55200000,56700000,57500000,58200000,61700000,59500000,61900000
licenses/by-nc/2.5,25500000,77000,148000,241000,404000,1460000,11300000,13200000,15600000,17700000,19400000,16700000,19600000,19100000,20600000,19600000,19200000,22300000,22700000,19600000
licenses/by-nc-nd/2.5,29100000,76200,164000,242000,336000,2310000,10600000,12200000,17300000,17300000,17600000,18400000,19800000,22400000,19700000,19700000,18200000,22400000,21600000,25400000
licenses/by-nc-sa/2.5,9780000,28400,58900,120000,139000,175000,231000,233000,258000,284000,275000,295000,302000,293000,297000,314000,300000,351000,320000,321000
licenses/by-nd/2.5,76800000,240000,6660000,13200000,19400000,23000000,31300000,32800000,40500000,48200000,52900000,54500000,61800000,57800000,65000000,59700000,57000000,66600000,67200000,60900000
licenses/by-sa/2.5,36100000,118000,213000,398000,9360000,12000000,14500000,17700000,19300000,19200000,23700000,23800000,22300000,24900000,27700000,24100000,25500000,25600000,26300000,25300000
licenses/by/3.0,76500000,342000,7080000,12100000,17400000,20900000,25700000,28900000,33300000,37200000,39000000,42000000,42500000,43400000,46900000,47200000,53000000,52800000,57100000,55200000
licenses/by-nc/3.0,24500000,58400,121000,179000,248000,307000,353000,1130000,7080000,10900000,11700000,14000000,14300000,13500000,13300000,16500000,15000000,15100000,16300000,15100000
licenses/by-nc-nd/3.0,25200000,56400,114000,220000,282000,332000,441000,714000,8390000,11800000,13500000,14500000,14400000,14300000,14300000,16300000,15200000,16400000,16000000,19300000
licenses/by-nc-sa/3.0,5990000,28100,49800,82600,113000,145000,161000,190000,200000,199000,227000,237000,237000,253000,247000,249000,281000,275000,270000,300000
licenses/by-nd/3.0,79700000,307000,6860000,12200000,18500000,22400000,25000000,31100000,39500000,43800000,40600000,45200000,45100000,53700000,48000000,51500000,49700000,51500000,54500000,52200000
licenses/by-sa/3.0,46700000,186000,319000,4600000,10300000,14600000,15300000,16700000,17600000,20700000,24600000,22400000,23000000,24700000,25300000,25800000,25200000,25900000,27000000,28700000
licenses/by/4.0,197000000,11600000,17100000,33300000,49100000,69900000,82800000,101000000,120000000,143000000,149000000,166000000,165000000,160000000,173000000,175000000,169000000,178000000,177000000,176000000
licenses/by-nc/4.0,74400000,206000,1390000,11400000,16500000,21800000,27300000,31100000,36400000,43000000,45800000,51100000,48800000,50000000,58200000,59400000,58000000,55300000,55800000,55900000
licenses/by-nc-nd/4.0,75200000,223000,1650000,13700000,17300000,21600000,28700000,33800000,42400000,45300000,58200000,56800000,55900000,68000000,61800000,60100000,58100000,68500000,61000000,64800000
licenses/by-nc-sa/4.0,33300000,86200,162000,278000,344000,7640000,13700000,13200000,16100000,16800000,19400000,21300000,21300000,20900000,24400000,21500000,21900000,23900000,21100000,23400000
licenses/by-nd/4.0,235000000,10800000,18100000,34800000,46100000,75600000,95000000,110000000,125000000,163000000,155000000,181000000,164000000,183000000,199000000,165000000,191000000,193000000,193000000,193000000
licenses/by-sa/4.0,110000000,420000,13000000,16600000,27400000,32500000,41600000,51100000,60700000,71800000,71900000,78200000,77800000,80300000,82000000,83100000,83600000,84500000,84800000,84300000
publicdomain/mark/1.0,18500000,97200,215000,262000,353000,4100000,4240000,4440000,7710000,8310000,9250000,9110000,10100000,9680000,10600000,12700000,10700000,12000000,11400000,12800000
