LICENSE TYPE,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114
licenses/by-nc-sa/2.5,8550000,32400,67800,115000,151000,183000,255000,245000,253000,279000,291000,328000,346000,321000,298000,328000,348000,331000,351000,319000
licenses/by-nd/2.5,79400000,262000,6760000,14900000,18000000,24400000,28500000,32300000,42700000,45700000,52900000,59400000,58900000,66600000,62300000,62300000,63100000,60600000,70900000,61000000
licenses/by-sa/2.5,36400000,117000,251000,382000,9440000,13000000,14300000,16700000,18500000,20800000,22100000,25500000,23900000,24200000,25900000,23700000,24000000,24200000,24500000,25600000
licenses/by/3.0,93800000,364000,8060000,13300000,19100000,23000000,27800000,33700000,35600000,38900000,48700000,49600000,47200000,50900000,57700000,54000000,55400000,59800000,60500000,59100000
licenses/by-nc/3.0,29100000,61500,108000,201000,237000,296000,352000,1750000,7090000,10500000,11800000,11800000,12400000,12500000,13000000,12600000,14500000,15400000,13800000,14600000
licenses/by-nc-nd/3.0,24800000,63200,133000,235000,316000,399000,397000,446000,6620000,12400000,11400000,12500000,13500000,12500000,13300000,13800000,13600000,15100000,15700000,17000000
licenses/by-nc-sa/3.0,5960000,27600,56600,80300,120000,145000,201000,192000,209000,210000,240000,255000,257000,253000,260000,242000,268000,284000,290000,282000
licenses/by-nd/3.0,99100000,396000,10100000,14300000,16800000,20500000,35800000,32400000,32800000,45700000,50300000,44600000,47400000,53400000,53800000,57100000,55800000,66800000,58100000,54000000
licenses/by-sa/3.0,47900000,193000,324000,5310000,12000000,12900000,15900000,16100000,18000000,20700000,20600000,21500000,23200000,23500000,25100000,23500000,23800000,24600000,26200000,26300000
licenses/by/4.0,252000000,10900000,18800000,32800000,52200000,70300000,89700000,123000000,156000000,178000000,199000000,205000000,212000000,229000000,243000000,229000000,250000000,229000000,253000000,231000000
licenses/by-nc/4.0,88200000,205000,1400000,13700000,16500000,22500000,26500000,34200000,36500000,45100000,47800000,53600000,53400000,54500000,56600000,60300000,55800000,67400000,63700000,56200000
licenses/by-nc-nd/4.0,91700000,223000,1490000,12300000,17900000,22500000,28800000,36100000,34900000,43400000,55400000,53700000,56300000,57800000,58600000,59700000,58000000,55500000,55600000,70800000
licenses/by-nc-sa/4.0,30400000,85700,164000,300000,383000,9220000,11900000,13300000,17300000,17600000,18000000,19300000,25000000,22000000,21500000,22000000,22000000,21400000,21700000,24700000
licenses/by-nd/4.0,299000000,11900000,17400000,32200000,51900000,63700000,103000000,124000000,163000000,186000000,200000000,233000000,248000000,227000000,242000000,226000000,249000000,228000000,296000000,278000000
licenses/by-sa/4.0,136000000,4470000,11600000,20900000,25000000,33700000,45900000,56600000,69400000,86100000,80000000,84800000,90000000,91000000,90500000,100000000,105000000,99600000,101000000,116000000
publicdomain/mark/1.0,16600000,98900,182000,256000,325000,3660000,4470000,4270000,6630000,8080000,9260000,9350000,9710000,10100000,10400000,10600000,10900000,10600000,11100000,10900000
publicdomain/zero/1.0,39100000,111000,206000,321000,4560000,9730000,13600000,15400000,17800000,22800000,24100000,25200000,24700000,27900000,25900000,28700000,29300000,28400000,28500000,28800000
