LICENSE TYPE,Document Count
licenses/by-nd-nc/1.0,25500000
licenses/by-sa/1.0,37100000
licenses/nc/1.0,23900000
licenses/nc-sa/1.0,5180000
licenses/nc-sampling+/1.0,1710
licenses/nd/1.0,83200000
licenses/nd-nc/1.0,24000000
licenses/sa/1.0,40700000
licenses/sampling/1.0,65600000
licenses/sampling+/1.0,4900
licenses/by/2.0,61700000
licenses/by-nc/2.0,19100000
licenses/by-nc-nd/2.0,18500000
licenses/by-nc-sa/2.0,2420000
licenses/by-nd/2.0,69300000
licenses/by-nd-nc/2.0,19300000
licenses/by-sa/2.0,33500000
licenses/devnations/2.0,96
licenses/nc/2.0,17300000
licenses/nc-sa/2.0,2480000
licenses/nd/2.0,62500000
licenses/nd-nc/2.0,17400000
licenses/sa/2.0,33300000
licenses/by/2.1,67300000
licenses/by-nc/2.1,23200000
licenses/by-nc-nd/2.1,30700000
licenses/by-nc-sa/2.1,8410000
licenses/by-nd/2.1,66300000
licenses/by-sa/2.1,32500000
licenses/by/2.5,74000000
licenses/by-nc/2.5,25600000
licenses/by-nc-nd/2.5,23900000
licenses/by-nc-sa/2.5,6640000
licenses/by-nd/2.5,80900000
licenses/by-sa/2.5,33000000
licenses/by/3.0,68700000
licenses/by-nc/3.0,21200000
licenses/by-nc-nd/3.0,24800000
licenses/by-nc-sa/3.0,5040000
licenses/by-nd/3.0,84200000
licenses/by-sa/3.0,42600000
licenses/by/4.0,213000000
licenses/by-nc/4.0,76900000
licenses/by-nc-nd/4.0,80800000
licenses/by-nc-sa/4.0,30600000
licenses/by-nd/4.0,243000000
licenses/by-sa/4.0,100000000
publicdomain/mark/1.0,15700000
publicdomain/zero/1.0,35000000
