"CC legal tool","Count"
"CC BY 4.0","429000000"
"CC BY-NC 4.0","154000000"
"CC BY-NC-ND 4.0","154000000"
"CC BY-NC-SA 4.0","67700000"
"CC BY-ND 4.0","119000000"
"CC BY-SA 4.0","197000000"
"PDM 1.0","11800000"
"CC0 1.0","32400000"
