"CC legal tool product","Count"
"Licenses version 4.0","1120700000"
"Licenses version 3.0","15270992400"
"Licenses version 2.x","15995273049"
"Licenses version 1.0","1877837000"
"CC0 1.0","32400000"
"Public Domain Mark 1.0","11800000"
"Certification 1.0 US","52800000"
