"CC legal tool","Count"
"CC BY","12846414000"
"CC BY-NC","3892575000"
"CC BY-NC-ND","2317229200"
"CC BY-NC-SA","1667789000"
"CC BY-ND","4122754000"
"CC BY-SA","6562768000"
