"Language","Count"
"English","1148130000"
"Spanish","17126500"
"German","11209200"
"Portuguese","4648000"
"Indonesian","3694350"
"French","3262800"
"Italian","1605900"
"Russian","654400"
"Dutch","597490"
"Polish","553600"
"Japanese","548090"
"Turkish","538150"
"Chinese (Simplified)","452800"
"Slovenian","436530"
"Korean","320530"
"Swedish","284600"
"Czech","262728"
"Serbian","231720"
"Chinese (Traditional)","214990"
"Croatian","195560"
"Catalan","188930"
"Danish","151440"
"Norwegian","143620"
"Finnish","138310"
"Greek","124780"
"Hungarian","98200"
"Romanian","97510"
"Lithuanian","81226"
"Slovak","79500"
"Arabic","76440"
"Latvian","70314"
"Bulgarian","68841"
"Hebrew","62351"
"Icelandic","35888"
"Estonian","24630"
