"CC legal tool","Count"
"CC DEVNATIONS","249"
"CC NC","112613000"
"CC NC-SA","44889000"
"CC ND","527300000"
"CC ND-NC","113321000"
"CC SA","229250000"
"CC NC-SAMPLING+","47300000"
"CC SAMPLING","269000000"
"CC SAMPLING+","390900000"
"CC PUBLICDOMAIN","52800000"
