"Language","Count"
"English","1260060000"
"Spanish","14338300"
"Indonesian","10814060"
"German","9313000"
"Portuguese","3299800"
"French","3155100"
"Russian","1282060"
"Italian","826800"
"Turkish","758020"
"Japanese","679930"
"Polish","652800"
"Slovenian","623710"
"Chinese (Simplified)","477120"
"Dutch","471600"
"Czech","415090"
"Korean","371900"
"Catalan","335090"
"Swedish","288670"
"Serbian","258350"
"Danish","231450"
"Finnish","210340"
"Croatian","201010"
"Norwegian","200770"
"Romanian","124080"
"Arabic","123080"
"Greek","114150"
"Lithuanian","110337"
"Hungarian","104790"
"Chinese (Traditional)","100527"
"Latvian","95927"
"Slovak","95541"
"Hebrew","78918"
"Icelandic","55610"
"Bulgarian","50795"
"Estonian","40700"
