"Language","Count"
"English","7133096"
"Cebuano","6115802"
"German","3094702"
"French","2737424"
"Swedish","2621122"
"Dutch","2211026"
"Spanish","2092829"
"Russian","2084356"
"Italian","1955513"
"Polish","1683904"
