"CC legal tool product","Count"
"Licenses version 4.0","1297700000"
"Licenses version 3.0","13562817300"
"Licenses version 2.x","17091828995"
"Licenses version 1.0","1669087000"
"CC0 1.0","26600000"
"Public Domain Mark 1.0","10600000"
"Certification 1.0 US","0"
