"CC legal tool","Count"
"CC BY","10440890000"
"CC BY-NC","3301023000"
"CC BY-NC-ND","2188566000"
"CC BY-NC-SA","1414819200"
"CC BY-ND","8140604000"
"CC BY-SA","5737609000"
