"CC legal tool","Count"
"CC BY 4.0","381000000"
"CC BY-NC 4.0","144000000"
"CC BY-NC-ND 4.0","145000000"
"CC BY-NC-SA 4.0","60700000"
"CC BY-ND 4.0","381000000"
"CC BY-SA 4.0","186000000"
"PDM 1.0","10600000"
"CC0 1.0","26600000"
