"CC legal tool","Count"
"CC DEVNATIONS","95"
"CC NC","56582000"
"CC NC-SA","24598000"
"CC NC-SAMPLING+","40000000"
"CC ND","293800000"
"CC ND-NC","56584000"
"CC SA","118420000"
"CC SAMPLING","184200000"
"CC SAMPLING+","280000000"
"CERTIFICATION","46038000"
