"CC legal tool","Count"
"CC BY 4.0","367000000"
"CC BY-NC 4.0","129000000"
"CC BY-NC-ND 4.0","129000000"
"CC BY-NC-SA 4.0","55200000"
"CC BY-ND 4.0","102000000"
"CC BY-SA 4.0","168000000"
"PDM 1.0","8740000"
"CC0 1.0","25600000"
