"CC legal tool","Count"
"CC BY","11066715000"
"CC BY-NC","3185767000"
"CC BY-NC-ND","1834356800"
"CC BY-NC-SA","1354468800"
"CC BY-ND","3384679000"
"CC BY-SA","5772141000"
