"CC legal tool","Count"
"CC DEVNATIONS","173"
"CC NC","90629000"
"CC NC-SA","37903000"
"CC ND","448300000"
"CC ND-NC","91333000"
"CC SA","190100000"
"CC NC-SAMPLING+","40700000"
"CC SAMPLING","224500000"
"CC SAMPLING+","329200000"
"CC PUBLICDOMAIN","41700000"
