pages,articles,edits,images,users,activeusers,admins,jobs,cirrussearch-article-words,queued-massmessages,language
19097,4977,281375,776,20458,35,5,0,3776392,0,mt
219660,103911,764336,2959,105209,133,4,0,20186208,0,my
4884,1660,89679,4,11615,21,1,0,42212,0,na
1709340,600320,22999711,4,564448,1283,45,0,172365938,0,nb
104573,32144,1085336,1277,59557,95,5,0,6638851,0,ne
443,8,5923,0,2385,1,1,0,2693,0,ng
4484490,2105053,63021379,20,1236691,3773,35,0,367829900,0,nl
373544,163152,3431773,16,123202,138,14,0,37052600,0,nn
1709340,600320,22999711,4,564448,1283,45,0,172365938,0,no
34867,20654,296913,716,15408,18,2,0,1343481,0,nv
4342,936,40009,0,9713,17,3,0,242059,0,ny
156775,87728,2333413,936,49051,107,4,0,18632113,0,oc
3761,1100,38180,0,9643,20,1,0,312251,0,om
72677,16102,467741,163,31580,50,6,0,4979435,0,or
60668,16477,527164,158,22883,32,3,0,1225836,0,os
135720,38931,617982,1637,43019,81,9,0,14541920,0,pa
4641,2547,101712,1,6736,5,2,0,63811,0,pi
3544247,1540001,68371762,262,1198369,4169,100,0,457067136,0,pl
56169,16470,287278,1733,28344,53,1,0,13429575,0,ps
5432844,1096119,64437805,58577,2822389,8290,53,0,493785368,0,pt
55992,23076,650371,0,27508,40,2,0,1847725,0,qu
9599,3757,163318,51,18781,18,3,0,2793907,0,rm
2450,621,23141,0,9082,9,1,0,55622,0,rn
2632855,434226,15156352,116549,597250,905,17,0,138835784,0,ro
7478807,1863105,125954957,239258,3268236,10507,75,0,957756974,0,ru
9981,3834,88594,0,11374,34,1,0,780908,0,rw
70960,11799,471484,445,36020,47,4,0,2696315,0,sa
16543,7348,178482,150,22257,35,4,0,2152947,0,sc
56306,15277,240820,145,16046,28,4,0,4286703,0,sd
20861,7805,301323,0,26663,29,6,0,691410,0,se
1983,311,20591,0,6064,10,2,0,24373,0,sg
81666,18171,518978,3109,59528,92,3,0,8815702,0,si
551718,242448,7453977,0,224334,600,10,0,59659539,0,sk
441810,178196,5806133,8303,215465,359,22,0,62788449,0,sl
3306,1069,42796,0,9777,14,1,0,155288,0,sm
17550,9090,100380,0,15766,22,1,0,1015467,0,sn
26107,8637,242953,0,32855,87,1,0,2328458,0,so
265627,86624,2485904,4732,145552,259,11,0,30543576,0,sq
3998411,664325,25272597,37009,314121,758,19,0,172369953,0,sr
2435,589,38168,0,7741,13,3,0,73297,0,ss
4317,863,28722,0,9570,15,1,0,144955,0,st
97472,61303,630023,545,28740,52,7,0,6405135,0,su
6133280,2555067,51287413,0,839904,2230,67,0,488484851,0,sv
154386,75288,1252383,2276,56344,108,14,0,11374602,0,sw
470816,149455,3579908,7669,210402,339,31,0,41041354,0,ta
312190,79171,3688061,14397,116068,201,13,0,37495897,0,te
263538,107892,1315630,484,36804,64,6,0,9626195,0,tg
986772,150683,10351685,26486,434571,1039,15,0,95509506,0,th
2740,238,23948,0,8582,14,2,0,45545,0,ti
16008,6485,233190,324,25180,42,3,0,1381121,0,tk
235277,43436,1974801,1896,125804,151,11,0,14957742,0,tl
4111,850,29714,4,9394,25,2,0,267276,0,tn
5346,1914,41978,12,9348,19,2,0,171228,0,to
2433454,527039,28672921,37831,1437162,2891,24,0,138831174,0,tr
3769,720,36726,0,8959,10,2,0,162379,0,ts
580533,431115,3571816,6154,43919,86,5,0,89302775,0,tt
5120,2149,94428,0,14078,17,2,0,721200,0,tw
2995,1218,53124,0,6940,11,2,0,28275,0,ty
15065,5468,155135,171,20128,34,2,0,2669788,0,ug
4177718,1202247,37352096,110149,651026,3248,47,0,426700230,0,uk
1007366,179037,5181457,12779,152777,295,11,0,43111094,0,ur
726424,180660,3108446,2180,81610,743,20,0,42027768,0,uz
2236,748,19318,0,7308,6,1,0,43450,0,ve
19385940,1277306,69176548,24518,884994,1943,20,0,310794031,0,vi
153248,32449,3278485,0,32711,34,2,0,2517474,0,vo
27427,11635,390395,616,22548,39,4,0,1928952,0,wa
5374,1650,104555,0,14084,18,3,0,660455,0,wo
3837,1241,34000,0,11956,15,1,0,275617,0,xh
44269,15403,580327,1062,46110,46,3,0,3428277,0,yi
55592,31878,556674,166,25338,66,3,0,2378058,0,yo
4164,2030,39408,0,9857,13,1,0,112245,0,za
7188090,1313317,73931414,61441,3275098,8147,66,0,618123370,0,zh
24059,10601,97147,0,17989,34,1,0,818084,0,zu
