,location,id,dates,license,tags,views,comments
47,"Brasilia, Brazil",52407860460,2022-10-05 19:38:30,4,"['institucional', 'Congresso Nacional', 'fachada', 'iluminação', 'rosa', 'cor de rosa', 'projeção', 'imagem', 'frase', 'campanha Outubro Rosa 2022', 'Outubro Rosa', 'ação', 'campanha', 'conscientização', 'diagnóstico', 'prevenção', 'câncer de mama', 'câncer de colo do útero', 'doença', 'Secretaria da Mulher da Câmara', 'Bancada Feminina', 'Procuradoria da Mulher', 'Procuradoria Especial da Mulher', 'Liderança da Bancada Feminina do Senado', 'exposição Amor I Love You', 'Associação de Mulheres Mastectomizadas de Brasília', 'Recomeçar', 'Brasília', 'DF', 'Brasil']",261,0
48,"Bolton, Lancs., England",52407062441,2022-08-21 20:13:40,4,['@@pcat_wedding'],31,0
49,Seattle,52406444092,2022-09-23 13:34:58,4,['Juarez'],14,0
50,,52407198553,2018-09-25 14:17:53,4,[],10,0
51,"Bolton, Lancs., England",52404451232,2022-08-21 13:11:12,4,['@@pcat_wedding'],455,0
52,"Bolton, Lancs., England",52405331900,2022-08-21 12:23:02,4,['@@pcat_wedding'],12,0
53,,52403864266,2022-10-04 20:41:27,4,[],71,0
54,"Oshawa, Canada",52403508594,2022-10-03 20:40:51,4,[],40,0
55,,52403240664,2022-09-21 13:31:06,4,['basement'],27,0
56,,52402788339,2022-08-01 09:28:13,4,"['Galla Placidia', 'Ravenna', 'Roman mosaics']",22,0
57,UK,52402191439,2022-10-01 12:25:42,4,[],22,0
58,"Crystal Palace, London, UK",52401351284,2022-10-02 13:10:46,4,[],56,0
59,,52401053906,2022-08-15 13:03:55,4,[],105,0
60,,52401053076,2022-08-15 13:54:14,4,[],62,0
61,,52400942595,2022-10-01 09:43:33,4,['1-october-2022'],58,0
62,,52400054938,2022-09-28 10:48:37,4,[],1,0
63,,52398172345,2022-09-30 07:52:31,4,"['Dorsten', 'Street', 'Sonnenaufgang']",24,0
64,"Geelong / Melbourne, Australia",52394049554,2022-09-29 18:57:19,4,"['Mahsa Amini', 'Zhina Amini', 'Jina Amini', 'Iran', '2022 Iran Protests', 'Solidarity', 'Melbourne', 'Victoria', 'Australia', 'Naarm', 'Kurds', 'Protest', 'liberation', 'Rally', 'say her name', 'be our voice']",172,0
65,,52393011344,2022-09-27 09:09:31,4,"['film', '35mm', 'Westmoreland County', 'Virginia', 'slide', 'Northern Neck', 'photograph', 'MonroeBay', 'Colonial Beach', '1200dpi', '1985', 'PhotobyRobertDungan']",95,0
66,,52391004826,2016-06-13 22:20:45,4,[],10,0
67,,52391187973,2016-06-13 19:23:21,4,[],4,0
68,,52391136764,2016-06-13 11:59:04,4,[],547,0
69,,52390534341,2016-06-04 09:25:50,4,[],27,0
70,,52389607382,2022-09-25 10:48:57,4,['Red'],598,0
