LICENSE TYPE, No Priori, United States, Canada, India, United Kingdom, Australia, Japan, English, Spanish, French, Arabic, Chinese (Simplified), Indonesian
"https://creativecommons.org/publicdomain/mark/1.0","16400000","13600000","3200","0","0","0","0","0","0","0","0","0","0"
"https://creativecommons.org/licenses/sa/1.0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://creativecommons.org/licenses/by/2.5","282000000","255000000","110000","80800","516000","265000","75000","272000000","2790000","850000","80900","282000000","79200"
"https://creativecommons.org/licenses/by-nc-sa/1.0","24600000","17800000","8670","3310","55600","14400","10600","23900000","56800","228000","911","24600000","36100"
"https://creativecommons.org/licenses/by-nc-nd/3.0","48100000","43500000","11100","3000","81000","17500","28900","46700000","3880000","193000","3870","48100000","87000"
"https://creativecommons.org/publicdomain/mark/1.0","15900000","13800000","3080","841","152000","2440","22500","10900000","192000","158000","15400","15900000","11300"
"https://creativecommons.org/licenses/by-nd/4.0","107000000","79800000","102000","34500","318000","66100","191000","102000000","2050000","164000","13700","107000000","165000"
"https://creativecommons.org/licenses/nc/1.0","58500000","46200000","24100","6560","121000","27100","31500","57500000","117000","321000","2770","58000000","67300"
