"PLAN_INDEX","TOOL_IDENTIFIER","COUNT"
"1","CC BY 4.0","324000000"
"2","CC BY-NC 4.0","132000000"
"3","CC BY-NC-ND 4.0","132000000"
"4","CC BY-NC-SA 4.0","58000000"
"5","CC BY-ND 4.0","322000000"
"6","CC BY-SA 4.0","164000000"
"7","PDM 1.0","8180000"
"8","CC0 1.0","30500000"
"9","CC BY 3.0","169000000"
"10","CC BY-NC 3.0","45800000"
"11","CC BY-NC-ND 3.0","45800000"
"12","CC BY-NC-SA 3.0","16600000"
"13","CC BY-ND 3.0","167000000"
"14","CC BY-SA 3.0","80600000"
"15","CC BY 2.5","209000000"
"16","CC BY-NC 2.5","55500000"
"17","CC BY-NC-ND 2.5","56400000"
"18","CC BY-NC-SA 2.5","21900000"
"19","CC BY-ND 2.5","209000000"
"20","CC BY-SA 2.5","111000000"
"21","CC BY 2.1","208000000"
"22","CC BY-NC 2.1","55100000"
"23","CC BY-NC-ND 2.1","55100000"
"24","CC BY-NC-SA 2.1","23200000"
"25","CC BY-ND 2.1","208000000"
"26","CC BY-SA 2.1","110000000"
"27","CC BY 2.0","162000000"
"28","CC BY-NC 2.0","30400000"
"29","CC BY-NC-ND 2.0","30300000"
"30","CC BY-NC-SA 2.0","12400000"
"31","CC BY-ND 2.0","161000000"
"32","CC BY-ND-NC 2.0","7630000"
"33","CC BY-SA 2.0","68400000"
"34","CC BY 1.0","196000000"
"35","CC BY-NC 1.0","44400000"
"36","CC BY-NC-SA 1.0","16600000"
"37","CC BY-ND 1.0","199000000"
"38","CC BY-ND-NC 1.0","10100000"
"39","CC BY-SA 1.0","87700000"
"40","CC BY 3.0 AM","117000000"
"41","CC BY-NC 3.0 AM","34000000"
"42","CC BY-NC-ND 3.0 AM","34000000"
"43","CC BY-NC-SA 3.0 AM","14000000"
"44","CC BY-ND 3.0 AM","138000000"
"45","CC BY-SA 3.0 AM","69500000"
"46","CC BY 3.0 AT","524000000"
"47","CC BY-NC 3.0 AT","181000000"
"48","CC BY-NC-ND 3.0 AT","60300000"
"49","CC BY-NC-SA 3.0 AT","97700000"
"50","CC BY-ND 3.0 AT","197000000"
"51","CC BY-SA 3.0 AT","272000000"
"52","CC BY 3.0 AU","191000000"
"53","CC BY-NC 3.0 AU","40300000"
"54","CC BY-NC-ND 3.0 AU","3270000"
"55","CC BY-NC-SA 3.0 AU","15900000"
"56","CC BY-ND 3.0 AU","30700000"
"57","CC BY-SA 3.0 AU","96300000"
"58","CC BY 3.0 AZ","12400000"
"59","CC BY-NC 3.0 AZ","624000"
"60","CC BY-NC-ND 3.0 AZ","595000"
"61","CC BY-NC-SA 3.0 AZ","323000"
"62","CC BY-ND 3.0 AZ","15600000"
"63","CC BY-SA 3.0 AZ","4610000"
"64","CC BY 3.0 BR","34400000"
"65","CC BY-NC 3.0 BR","6200000"
"66","CC BY-NC-ND 3.0 BR","6190000"
"67","CC BY-NC-SA 3.0 BR","1480000"
"68","CC BY-ND 3.0 BR","44400000"
