"PLAN_INDEX","TOOL_IDENTIFIER","LANGUAGE","COUNT"
"653","CC BY 4.0","Arabic","29500"
"654","CC BY 4.0","Bulgarian","10100"
"655","CC BY 4.0","Catalan","83700"
"656","CC BY 4.0","Chinese (Simplified)","161000"
"657","CC BY 4.0","Chinese (Traditional)","34100"
"658","CC BY 4.0","Croatian","60700"
"659","CC BY 4.0","Czech","139000"
"660","CC BY 4.0","Danish","34500"
"661","CC BY 4.0","Dutch","154000"
"662","CC BY 4.0","English","329000000"
"663","CC BY 4.0","Estonian","7000"
"664","CC BY 4.0","Finnish","63200"
"665","CC BY 4.0","French","693000"
"666","CC BY 4.0","German","4360000"
"667","CC BY 4.0","Greek","34900"
"668","CC BY 4.0","Hebrew","25900"
"669","CC BY 4.0","Hungarian","36900"
"670","CC BY 4.0","Icelandic","12700"
"671","CC BY 4.0","Indonesian","2710000"
"672","CC BY 4.0","Italian","206000"
"673","CC BY 4.0","Japanese","219000"
"674","CC BY 4.0","Korean","94000"
"675","CC BY 4.0","Latvian","23800"
"676","CC BY 4.0","Lithuanian","29800"
"677","CC BY 4.0","Norwegian","65800"
"678","CC BY 4.0","Polish","188000"
"679","CC BY 4.0","Portuguese","1940000"
"680","CC BY 4.0","Romanian","55200"
"681","CC BY 4.0","Russian","387000"
"682","CC BY 4.0","Serbian","62300"
"683","CC BY 4.0","Slovak","22800"
"684","CC BY 4.0","Slovenian","113000"
"685","CC BY 4.0","Spanish","6850000"
"686","CC BY 4.0","Swedish","56100"
"687","CC BY 4.0","Turkish","168000"
"688","CC BY-NC 4.0","Arabic","4780"
"689","CC BY-NC 4.0","Bulgarian","1100"
"690","CC BY-NC 4.0","Catalan","12100"
"691","CC BY-NC 4.0","Chinese (Simplified)","34100"
"692","CC BY-NC 4.0","Chinese (Traditional)","4710"
"693","CC BY-NC 4.0","Croatian","7330"
"694","CC BY-NC 4.0","Czech","8240"
"695","CC BY-NC 4.0","Danish","2740"
"696","CC BY-NC 4.0","Dutch","39100"
"697","CC BY-NC 4.0","English","130000000"
"698","CC BY-NC 4.0","Estonian","1980"
"699","CC BY-NC 4.0","Finnish","10400"
"700","CC BY-NC 4.0","French","376000"
"701","CC BY-NC 4.0","German","114000"
"702","CC BY-NC 4.0","Greek","14200"
"703","CC BY-NC 4.0","Hebrew","519"
"704","CC BY-NC 4.0","Hungarian","7430"
"705","CC BY-NC 4.0","Icelandic","3560"
"706","CC BY-NC 4.0","Indonesian","97800"
"707","CC BY-NC 4.0","Italian","21000"
"708","CC BY-NC 4.0","Japanese","19000"
"709","CC BY-NC 4.0","Korean","40000"
"710","CC BY-NC 4.0","Latvian","6030"
"711","CC BY-NC 4.0","Lithuanian","6100"
"712","CC BY-NC 4.0","Norwegian","8320"
"713","CC BY-NC 4.0","Polish","65600"
"714","CC BY-NC 4.0","Portuguese","898000"
"715","CC BY-NC 4.0","Romanian","15800"
"716","CC BY-NC 4.0","Russian","25100"
"717","CC BY-NC 4.0","Serbian","3360"
"718","CC BY-NC 4.0","Slovak","2560"
"719","CC BY-NC 4.0","Slovenian","57000"
