"TOOL_IDENTIFIER","SPDX_IDENTIFIER","COUNT"
"BSD Zero Clause License","0BSD","59919"
"CC0 1.0","CC0-1.0","275634"
"CC BY 4.0","CC-BY-4.0","94575"
"CC BY-SA 4.0","CC-BY-SA-4.0","26190"
"MIT No Attribution","MIT-0","22355"
"Unlicense","Unlicense","359858"
"Total public repositories","N/A","128210047"
