LICENSE TYPE,Document Count
licenses/by-nc/2.1/ca,0
licenses/by-nc/2.1/es,0
licenses/by-nc/2.1/jp,0
licenses/by-nc-nd/2.1,0
licenses/by-nc-nd/2.1/au,0
licenses/by-nc-nd/2.1/ca,0
licenses/by-nc-nd/2.1/es,0
licenses/by-nc-nd/2.1/jp,0
licenses/by-nc-sa/2.1,0
licenses/by-nc-sa/2.1/au,0
licenses/by-nc-sa/2.1/ca,0
licenses/by-nc-sa/2.1/es,0
licenses/by-nc-sa/2.1/jp,0
licenses/by-nd/2.1,0
licenses/by-nd/2.1/au,0
licenses/by-nd/2.1/ca,0
licenses/by-nd/2.1/es,0
licenses/by-nd/2.1/jp,0
licenses/by-sa/2.1,0
licenses/by-sa/2.1/au,0
licenses/by-sa/2.1/ca,0
licenses/by-sa/2.1/es,0
licenses/by-sa/2.1/jp,0
licenses/by/2.5,0
licenses/by/2.5/ar,0
licenses/by/2.5/au,0
licenses/by/2.5/bg,0
licenses/by/2.5/br,0
licenses/by/2.5/ca,0
licenses/by/2.5/ch,0
licenses/by/2.5/cn,0
licenses/by/2.5/co,0
licenses/by/2.5/dk,0
licenses/by/2.5/es,0
licenses/by/2.5/hr,0
licenses/by/2.5/hu,0
licenses/by/2.5/il,0
licenses/by/2.5/in,0
licenses/by/2.5/it,0
licenses/by/2.5/mk,0
licenses/by/2.5/mt,0
licenses/by/2.5/mx,0
licenses/by/2.5/my,0
licenses/by/2.5/nl,0
licenses/by/2.5/pe,0
licenses/by/2.5/pl,0
licenses/by/2.5/pt,0
licenses/by/2.5/scotland,0
licenses/by/2.5/se,0
licenses/by/2.5/si,0
licenses/by/2.5/tw,0
licenses/by/2.5/za,0
licenses/by-nc/2.5,0
licenses/by-nc/2.5/ar,0
licenses/by-nc/2.5/au,0
licenses/by-nc/2.5/bg,0
licenses/by-nc/2.5/br,0
licenses/by-nc/2.5/ca,0
licenses/by-nc/2.5/ch,0
licenses/by-nc/2.5/cn,0
licenses/by-nc/2.5/co,0
licenses/by-nc/2.5/dk,0
licenses/by-nc/2.5/es,0
licenses/by-nc/2.5/hr,0
licenses/by-nc/2.5/hu,0
licenses/by-nc/2.5/il,0
licenses/by-nc/2.5/in,0
licenses/by-nc/2.5/it,0
licenses/by-nc/2.5/mk,0
licenses/by-nc/2.5/mt,0
licenses/by-nc/2.5/mx,0
licenses/by-nc/2.5/my,0
licenses/by-nc/2.5/nl,0
licenses/by-nc/2.5/pe,0
licenses/by-nc/2.5/pl,0
licenses/by-nc/2.5/pt,0
licenses/by-nc/2.5/scotland,0
licenses/by-nc/2.5/se,0
licenses/by-nc/2.5/si,0
licenses/by-nc/2.5/tw,0
licenses/by-nc/2.5/za,0
licenses/by-nc-nd/2.5,0
licenses/by-nc-nd/2.5/ar,0
licenses/by-nc-nd/2.5/au,0
licenses/by-nc-nd/2.5/bg,0
licenses/by-nc-nd/2.5/br,0
licenses/by-nc-nd/2.5/ca,0
licenses/by-nc-nd/2.5/ch,0
licenses/by-nc-nd/2.5/cn,0
licenses/by-nc-nd/2.5/co,0
licenses/by-nc-nd/2.5/dk,0
licenses/by-nc-nd/2.5/es,0
licenses/by-nc-nd/2.5/hr,0
licenses/by-nc-nd/2.5/hu,0
licenses/by-nc-nd/2.5/il,0
licenses/by-nc-nd/2.5/in,0
licenses/by-nc-nd/2.5/it,19
licenses/by-nc-nd/2.5/mk,0
licenses/by-nc-nd/2.5/mt,0
licenses/by-nc-nd/2.5/mx,0
licenses/by-nc-nd/2.5/my,0
licenses/by-nc-nd/2.5/nl,0
licenses/by-nc-nd/2.5/pe,0
licenses/by-nc-nd/2.5/pl,0
licenses/by-nc-nd/2.5/pt,0
licenses/by-nc-nd/2.5/scotland,0
licenses/by-nc-nd/2.5/se,0
licenses/by-nc-nd/2.5/si,0
licenses/by-nc-nd/2.5/tw,0
licenses/by-nc-nd/2.5/za,0
licenses/by-nc-sa/2.5,0
licenses/by-nc-sa/2.5/ar,0
licenses/by-nc-sa/2.5/au,0
licenses/by-nc-sa/2.5/bg,0
licenses/by-nc-sa/2.5/br,0
licenses/by-nc-sa/2.5/ca,0
licenses/by-nc-sa/2.5/ch,0
licenses/by-nc-sa/2.5/cn,0
licenses/by-nc-sa/2.5/co,0
licenses/by-nc-sa/2.5/dk,0
licenses/by-nc-sa/2.5/es,1
licenses/by-nc-sa/2.5/hr,0
licenses/by-nc-sa/2.5/hu,0
licenses/by-nc-sa/2.5/il,0
licenses/by-nc-sa/2.5/in,0
licenses/by-nc-sa/2.5/it,0
licenses/by-nc-sa/2.5/mk,0
licenses/by-nc-sa/2.5/mt,0
licenses/by-nc-sa/2.5/mx,0
licenses/by-nc-sa/2.5/my,0
licenses/by-nc-sa/2.5/nl,0
licenses/by-nc-sa/2.5/pe,0
licenses/by-nc-sa/2.5/pl,0
licenses/by-nc-sa/2.5/pt,0
licenses/by-nc-sa/2.5/scotland,0
licenses/by-nc-sa/2.5/se,0
licenses/by-nc-sa/2.5/si,0
licenses/by-nc-sa/2.5/tw,0
licenses/by-nc-sa/2.5/za,0
licenses/by-nd/2.5,0
licenses/by-nd/2.5/ar,0
licenses/by-nd/2.5/au,0
licenses/by-nd/2.5/bg,0
licenses/by-nd/2.5/br,0
licenses/by-nd/2.5/ca,0
licenses/by-nd/2.5/ch,0
licenses/by-nd/2.5/cn,0
licenses/by-nd/2.5/co,0
licenses/by-nd/2.5/dk,0
licenses/by-nd/2.5/es,0
licenses/by-nd/2.5/hr,0
licenses/by-nd/2.5/hu,0
licenses/by-nd/2.5/il,0
licenses/by-nd/2.5/in,0
licenses/by-nd/2.5/it,0
licenses/by-nd/2.5/mk,0
licenses/by-nd/2.5/mt,0
licenses/by-nd/2.5/mx,0
licenses/by-nd/2.5/my,0
licenses/by-nd/2.5/nl,0
licenses/by-nd/2.5/pe,0
licenses/by-nd/2.5/pl,0
licenses/by-nd/2.5/pt,0
licenses/by-nd/2.5/scotland,0
licenses/by-nd/2.5/se,0
licenses/by-nd/2.5/si,0
licenses/by-nd/2.5/tw,0
licenses/by-nd/2.5/za,0
licenses/by-sa/2.5,0
licenses/by-sa/2.5/ar,0
licenses/by-sa/2.5/au,0
licenses/by-sa/2.5/bg,0
licenses/by-sa/2.5/br,0
licenses/by-sa/2.5/ca,0
licenses/by-sa/2.5/ch,0
licenses/by-sa/2.5/cn,0
licenses/by-sa/2.5/co,0
licenses/by-sa/2.5/dk,0
licenses/by-sa/2.5/es,0
licenses/by-sa/2.5/hr,0
licenses/by-sa/2.5/hu,0
licenses/by-sa/2.5/il,0
licenses/by-sa/2.5/in,1
licenses/by-sa/2.5/it,0
licenses/by-sa/2.5/mk,0
licenses/by-sa/2.5/mt,0
licenses/by-sa/2.5/mx,0
licenses/by-sa/2.5/my,0
licenses/by-sa/2.5/nl,0
licenses/by-sa/2.5/pe,0
licenses/by-sa/2.5/pl,0
licenses/by-sa/2.5/pt,0
licenses/by-sa/2.5/scotland,0
licenses/by-sa/2.5/se,0
licenses/by-sa/2.5/si,0
licenses/by-sa/2.5/tw,0
licenses/by-sa/2.5/za,0
licenses/by/3.0,1
licenses/by/3.0/am,0
licenses/by/3.0/at,0
licenses/by/3.0/au,0
licenses/by/3.0/az,0
licenses/by/3.0/br,0
licenses/by/3.0/ca,0
licenses/by/3.0/ch,0
licenses/by/3.0/cl,0
licenses/by/3.0/cn,0
licenses/by/3.0/cr,0
licenses/by/3.0/cz,0
licenses/by/3.0/de,0
licenses/by/3.0/ec,0
licenses/by/3.0/ee,0
licenses/by/3.0/eg,0
licenses/by/3.0/es,0
licenses/by/3.0/fr,0
licenses/by/3.0/ge,0
licenses/by/3.0/gr,0
licenses/by/3.0/gt,0
licenses/by/3.0/hk,0
licenses/by/3.0/hr,0
licenses/by/3.0/ie,0
licenses/by/3.0/igo,0
licenses/by/3.0/it,0
licenses/by/3.0/lu,0
licenses/by/3.0/nl,0
licenses/by/3.0/no,0
licenses/by/3.0/nz,0
licenses/by/3.0/ph,0
licenses/by/3.0/pl,0
licenses/by/3.0/pr,0
licenses/by/3.0/pt,0
licenses/by/3.0/ro,0
licenses/by/3.0/rs,0
licenses/by/3.0/sg,0
licenses/by/3.0/th,0
licenses/by/3.0/tw,0
licenses/by/3.0/ug,0
licenses/by/3.0/us,0
licenses/by/3.0/ve,0
licenses/by/3.0/vn,0
licenses/by/3.0/za,0
licenses/by-nc/3.0,2122
licenses/by-nc/3.0/am,0
licenses/by-nc/3.0/at,0
licenses/by-nc/3.0/au,0
licenses/by-nc/3.0/az,0
licenses/by-nc/3.0/br,0
licenses/by-nc/3.0/ca,0
licenses/by-nc/3.0/ch,0
licenses/by-nc/3.0/cl,0
licenses/by-nc/3.0/cn,0
licenses/by-nc/3.0/cr,0
licenses/by-nc/3.0/cz,0
licenses/by-nc/3.0/de,0
licenses/by-nc/3.0/ec,0
licenses/by-nc/3.0/ee,0
licenses/by-nc/3.0/eg,0
licenses/by-nc/3.0/es,0
licenses/by-nc/3.0/fr,0
licenses/by-nc/3.0/ge,0
licenses/by-nc/3.0/gr,0
licenses/by-nc/3.0/gt,0
licenses/by-nc/3.0/hk,0
licenses/by-nc/3.0/hr,0
licenses/by-nc/3.0/ie,0
licenses/by-nc/3.0/igo,0
licenses/by-nc/3.0/it,0
licenses/by-nc/3.0/lu,0
licenses/by-nc/3.0/nl,0
licenses/by-nc/3.0/no,0
licenses/by-nc/3.0/nz,0
licenses/by-nc/3.0/ph,0
licenses/by-nc/3.0/pl,0
licenses/by-nc/3.0/pr,0
licenses/by-nc/3.0/pt,0
licenses/by-nc/3.0/ro,0
licenses/by-nc/3.0/rs,0
licenses/by-nc/3.0/sg,0
licenses/by-nc/3.0/th,0
licenses/by-nc/3.0/tw,0
licenses/by-nc/3.0/ug,0
licenses/by-nc/3.0/us,0
licenses/by-nc/3.0/ve,0
licenses/by-nc/3.0/vn,0
licenses/by-nc/3.0/za,0
licenses/by-nc-nd/3.0,76
licenses/by-nc-nd/3.0/am,0
licenses/by-nc-nd/3.0/at,0
licenses/by-nc-nd/3.0/au,0
licenses/by-nc-nd/3.0/az,0
licenses/by-nc-nd/3.0/br,0
licenses/by-nc-nd/3.0/ca,0
licenses/by-nc-nd/3.0/ch,0
licenses/by-nc-nd/3.0/cl,0
licenses/by-nc-nd/3.0/cn,0
licenses/by-nc-nd/3.0/cr,0
licenses/by-nc-nd/3.0/cz,0
licenses/by-nc-nd/3.0/de,0
licenses/by-nc-nd/3.0/ec,0
