"PLAN_INDEX","TOOL_IDENTIFIER","COUNT"
"141","CC BY-SA 3.0 FR","269000000"
"142","CC BY 3.0 GE","139000000"
"143","CC BY-NC 3.0 GE","31000000"
"144","CC BY-NC-ND 3.0 GE","1510000"
"145","CC BY-NC-SA 3.0 GE","15600000"
"146","CC BY-ND 3.0 GE","26900000"
"147","CC BY-SA 3.0 GE","72200000"
"148","CC BY 3.0 GR","83800000"
"149","CC BY-NC 3.0 GR","17600000"
"150","CC BY-NC-ND 3.0 GR","692000"
"151","CC BY-NC-SA 3.0 GR","786000"
"152","CC BY-ND 3.0 GR","66100000"
"153","CC BY-SA 3.0 GR","26100000"
"154","CC BY 3.0 GT","38400000"
"155","CC BY-NC 3.0 GT","5280000"
"156","CC BY-NC-ND 3.0 GT","311000"
"157","CC BY-NC-SA 3.0 GT","765000"
"158","CC BY-ND 3.0 GT","1880000"
"159","CC BY-SA 3.0 GT","17100000"
"160","CC BY 3.0 HK","17500000"
"161","CC BY-NC 3.0 HK","681000"
"162","CC BY-NC-ND 3.0 HK","522000"
"163","CC BY-NC-SA 3.0 HK","331000"
"164","CC BY-ND 3.0 HK","15600000"
"165","CC BY-SA 3.0 HK","3210000"
"166","CC BY 3.0 HR","56500000"
"167","CC BY-NC 3.0 HR","9790000"
"168","CC BY-NC-ND 3.0 HR","7770000"
"169","CC BY-NC-SA 3.0 HR","1330000"
"170","CC BY-ND 3.0 HR","48000000"
"171","CC BY-SA 3.0 HR","23700000"
"172","CC BY 3.0 IE","315000000"
"173","CC BY-NC 3.0 IE","97500000"
"174","CC BY-NC-ND 3.0 IE","12300000"
"175","CC BY-NC-SA 3.0 IE","38900000"
"176","CC BY-ND 3.0 IE","78300000"
"177","CC BY-SA 3.0 IE","170000000"
"178","CC BY 3.0 IGO","196000"
"179","CC BY-NC 3.0 IGO","112000"
"180","CC BY-NC-ND 3.0 IGO","111000"
"181","CC BY-NC-SA 3.0 IGO","86900"
"182","CC BY-ND 3.0 IGO","191000"
"183","CC BY-SA 3.0 IGO","126000"
"184","CC BY 3.0 IT","595000000"
"185","CC BY-NC 3.0 IT","186000000"
"186","CC BY-NC-ND 3.0 IT","44400000"
"187","CC BY-NC-SA 3.0 IT","94400000"
"188","CC BY-ND 3.0 IT","173000000"
"189","CC BY-SA 3.0 IT","275000000"
"190","CC BY 3.0 LU","36300000"
"191","CC BY-NC 3.0 LU","6030000"
"192","CC BY-NC-ND 3.0 LU","2420000"
"193","CC BY-NC-SA 3.0 LU","753000"
"194","CC BY-ND 3.0 LU","29700000"
"195","CC BY-SA 3.0 LU","16800000"
"196","CC BY 3.0 NL","14600000"
"197","CC BY-NC 3.0 NL","592000"
"198","CC BY-NC-ND 3.0 NL","455000"
"199","CC BY-NC-SA 3.0 NL","248000"
"200","CC BY-ND 3.0 NL","13100000"
"201","CC BY-SA 3.0 NL","7440000"
"202","CC BY 3.0 NO","553000000"
"203","CC BY-NC 3.0 NO","181000000"
"204","CC BY-NC-ND 3.0 NO","41000000"
"205","CC BY-NC-SA 3.0 NO","99300000"
"206","CC BY-ND 3.0 NO","160000000"
"207","CC BY-SA 3.0 NO","262000000"
"208","CC BY 3.0 NZ","394000"
"209","CC BY-NC 3.0 NZ","154000"
"210","CC BY-NC-ND 3.0 NZ","128000"
"211","CC BY-NC-SA 3.0 NZ","80700"
"212","CC BY-ND 3.0 NZ","327000"
"213","CC BY-SA 3.0 NZ","146000"
"214","CC BY 3.0 PH","223000000"
"215","CC BY-NC 3.0 PH","61200000"
"216","CC BY-NC-ND 3.0 PH","8860000"
"217","CC BY-NC-SA 3.0 PH","26600000"
"218","CC BY-ND 3.0 PH","49400000"
"219","CC BY-SA 3.0 PH","125000000"
"220","CC BY 3.0 PL","112000000"
"221","CC BY-NC 3.0 PL","19500000"
"222","CC BY-NC-ND 3.0 PL","724000"
"223","CC BY-NC-SA 3.0 PL","9590000"
"224","CC BY-ND 3.0 PL","19900000"
"225","CC BY-SA 3.0 PL","53200000"
"226","CC BY 3.0 PR","28100000"
"227","CC BY-NC 3.0 PR","3250000"
"228","CC BY-NC-ND 3.0 PR","2100000"
"229","CC BY-NC-SA 3.0 PR","913000"
"230","CC BY-ND 3.0 PR","23900000"
"231","CC BY-SA 3.0 PR","11800000"
"232","CC BY 3.0 PT","135000000"
"233","CC BY-NC 3.0 PT","33200000"
"234","CC BY-NC-ND 3.0 PT","363000"
"235","CC BY-NC-SA 3.0 PT","11600000"
"236","CC BY-ND 3.0 PT","22200000"
"237","CC BY-SA 3.0 PT","64300000"
"238","CC BY 3.0 RO","13500000"
"239","CC BY-NC 3.0 RO","862000"
"240","CC BY-NC-ND 3.0 RO","775000"
"241","CC BY-NC-SA 3.0 RO","586000"
"242","CC BY-ND 3.0 RO","9960000"
"243","CC BY-SA 3.0 RO","4730000"
