"TOOL_IDENTIFIER","SPDX_IDENTIFIER","COUNT"
"BSD Zero Clause License","0BSD","60234"
"CC0 1.0","CC0-1.0","281866"
"CC BY 4.0","CC-BY-4.0","95234"
"CC BY-SA 4.0","CC-BY-SA-4.0","26514"
"MIT No Attribution","MIT-0","23868"
"Unlicense","Unlicense","364236"
"Total public repositories","N/A","225108644"
