"PLAN_INDEX","TOOL_IDENTIFIER","LANGUAGE","COUNT"
"653","CC BY 4.0","Arabic","27800"
"654","CC BY 4.0","Bulgarian","10900"
"655","CC BY 4.0","Catalan","81400"
"656","CC BY 4.0","Chinese (Simplified)","163000"
"657","CC BY 4.0","Chinese (Traditional)","36400"
"658","CC BY 4.0","Croatian","58800"
"659","CC BY 4.0","Czech","147000"
"660","CC BY 4.0","Danish","44400"
"661","CC BY 4.0","Dutch","163000"
"662","CC BY 4.0","English","367000000"
"663","CC BY 4.0","Estonian","8010"
"664","CC BY 4.0","Finnish","65400"
"665","CC BY 4.0","French","756000"
"666","CC BY 4.0","German","6780000"
"667","CC BY 4.0","Greek","38000"
"668","CC BY 4.0","Hebrew","34400"
"669","CC BY 4.0","Hungarian","65700"
"670","CC BY 4.0","Icelandic","14800"
"671","CC BY 4.0","Indonesian","1830000"
"672","CC BY 4.0","Italian","219000"
"673","CC BY 4.0","Japanese","199000"
"674","CC BY 4.0","Korean","92700"
"675","CC BY 4.0","Latvian","26500"
"676","CC BY 4.0","Lithuanian","30300"
"677","CC BY 4.0","Norwegian","63100"
"678","CC BY 4.0","Polish","196000"
"679","CC BY 4.0","Portuguese","1340000"
"680","CC BY 4.0","Romanian","39400"
"681","CC BY 4.0","Russian","364000"
"682","CC BY 4.0","Serbian","52000"
"683","CC BY 4.0","Slovak","23500"
"684","CC BY 4.0","Slovenian","116000"
"685","CC BY 4.0","Spanish","7400000"
"686","CC BY 4.0","Swedish","69400"
"687","CC BY 4.0","Turkish","143000"
"688","CC BY-NC 4.0","Arabic","4560"
"689","CC BY-NC 4.0","Bulgarian","1080"
"690","CC BY-NC 4.0","Catalan","12300"
"691","CC BY-NC 4.0","Chinese (Simplified)","26000"
"692","CC BY-NC 4.0","Chinese (Traditional)","6180"
"693","CC BY-NC 4.0","Croatian","8700"
"694","CC BY-NC 4.0","Czech","6850"
"695","CC BY-NC 4.0","Danish","5790"
"696","CC BY-NC 4.0","Dutch","38000"
"697","CC BY-NC 4.0","English","139000000"
"698","CC BY-NC 4.0","Estonian","2490"
"699","CC BY-NC 4.0","Finnish","9160"
"700","CC BY-NC 4.0","French","466000"
"701","CC BY-NC 4.0","German","112000"
"702","CC BY-NC 4.0","Greek","11500"
"703","CC BY-NC 4.0","Hebrew","567"
"704","CC BY-NC 4.0","Hungarian","38300"
"705","CC BY-NC 4.0","Icelandic","3710"
"706","CC BY-NC 4.0","Indonesian","87400"
"707","CC BY-NC 4.0","Italian","21000"
"708","CC BY-NC 4.0","Japanese","21000"
"709","CC BY-NC 4.0","Korean","36700"
"710","CC BY-NC 4.0","Latvian","5630"
"711","CC BY-NC 4.0","Lithuanian","8310"
"712","CC BY-NC 4.0","Norwegian","7870"
"713","CC BY-NC 4.0","Polish","61400"
"714","CC BY-NC 4.0","Portuguese","760000"
"715","CC BY-NC 4.0","Romanian","5020"
"716","CC BY-NC 4.0","Russian","23000"
"717","CC BY-NC 4.0","Serbian","2460"
"718","CC BY-NC 4.0","Slovak","2250"
"719","CC BY-NC 4.0","Slovenian","10"
"720","CC BY-NC 4.0","Spanish","820000"
"721","CC BY-NC 4.0","Swedish","16200"
"722","CC BY-NC 4.0","Turkish","91400"
"723","CC BY-NC-ND 4.0","Arabic","4450"
"724","CC BY-NC-ND 4.0","Bulgarian","1010"
"725","CC BY-NC-ND 4.0","Catalan","11400"
"726","CC BY-NC-ND 4.0","Chinese (Simplified)","25200"
"727","CC BY-NC-ND 4.0","Chinese (Traditional)","5850"
"728","CC BY-NC-ND 4.0","Croatian","8250"
"729","CC BY-NC-ND 4.0","Czech","6140"
"730","CC BY-NC-ND 4.0","Danish","5330"
"731","CC BY-NC-ND 4.0","Dutch","36000"
"732","CC BY-NC-ND 4.0","English","139000000"
"733","CC BY-NC-ND 4.0","Estonian","2080"
"734","CC BY-NC-ND 4.0","Finnish","8890"
"735","CC BY-NC-ND 4.0","French","241000"
"736","CC BY-NC-ND 4.0","German","80300"
"737","CC BY-NC-ND 4.0","Greek","10500"
"738","CC BY-NC-ND 4.0","Hebrew","552"
"739","CC BY-NC-ND 4.0","Hungarian","8020"
"740","CC BY-NC-ND 4.0","Icelandic","3360"
"741","CC BY-NC-ND 4.0","Indonesian","86100"
"742","CC BY-NC-ND 4.0","Italian","19500"
"743","CC BY-NC-ND 4.0","Japanese","27700"
"744","CC BY-NC-ND 4.0","Korean","36300"
"745","CC BY-NC-ND 4.0","Latvian","4040"
"746","CC BY-NC-ND 4.0","Lithuanian","7930"
"747","CC BY-NC-ND 4.0","Norwegian","7570"
"748","CC BY-NC-ND 4.0","Polish","58700"
"749","CC BY-NC-ND 4.0","Portuguese","668000"
"750","CC BY-NC-ND 4.0","Romanian","4370"
"751","CC BY-NC-ND 4.0","Russian","22400"
"752","CC BY-NC-ND 4.0","Serbian","2280"
"753","CC BY-NC-ND 4.0","Slovak","1930"
"754","CC BY-NC-ND 4.0","Slovenian","66000"
"755","CC BY-NC-ND 4.0","Spanish","721000"
"756","CC BY-NC-ND 4.0","Swedish","15100"
"757","CC BY-NC-ND 4.0","Turkish","86800"
"758","CC BY-NC-SA 4.0","Arabic","1840"
"759","CC BY-NC-SA 4.0","Bulgarian","652"
"760","CC BY-NC-SA 4.0","Catalan","3610"
"761","CC BY-NC-SA 4.0","Chinese (Simplified)","8130"
"762","CC BY-NC-SA 4.0","Chinese (Traditional)","1060"
"763","CC BY-NC-SA 4.0","Croatian","8650"
"764","CC BY-NC-SA 4.0","Czech","2680"
"765","CC BY-NC-SA 4.0","Danish","1320"
"766","CC BY-NC-SA 4.0","Dutch","11700"
"767","CC BY-NC-SA 4.0","English","55100000"
"768","CC BY-NC-SA 4.0","Estonian","1670"
"769","CC BY-NC-SA 4.0","Finnish","2810"
"770","CC BY-NC-SA 4.0","French","322000"
"771","CC BY-NC-SA 4.0","German","54700"
"772","CC BY-NC-SA 4.0","Greek","8040"
"773","CC BY-NC-SA 4.0","Hebrew","72"
"774","CC BY-NC-SA 4.0","Hungarian","32700"
"775","CC BY-NC-SA 4.0","Icelandic","919"
"776","CC BY-NC-SA 4.0","Indonesian","51900"
"777","CC BY-NC-SA 4.0","Italian","27300"
"778","CC BY-NC-SA 4.0","Japanese","8010"
"779","CC BY-NC-SA 4.0","Korean","9650"
"780","CC BY-NC-SA 4.0","Latvian","2910"
"781","CC BY-NC-SA 4.0","Lithuanian","1530"
"782","CC BY-NC-SA 4.0","Norwegian","3270"
"783","CC BY-NC-SA 4.0","Polish","51800"
"784","CC BY-NC-SA 4.0","Portuguese","448000"
"785","CC BY-NC-SA 4.0","Romanian","3730"
"786","CC BY-NC-SA 4.0","Russian","8770"
"787","CC BY-NC-SA 4.0","Serbian","2460"
"788","CC BY-NC-SA 4.0","Slovak","2250"
"789","CC BY-NC-SA 4.0","Slovenian","3050"
"790","CC BY-NC-SA 4.0","Spanish","463000"
"791","CC BY-NC-SA 4.0","Swedish","2210"
"792","CC BY-NC-SA 4.0","Turkish","76200"
"793","CC BY-ND 4.0","Arabic","3440"
"794","CC BY-ND 4.0","Bulgarian","860"
"795","CC BY-ND 4.0","Catalan","8220"
"796","CC BY-ND 4.0","Chinese (Simplified)","31600"
"797","CC BY-ND 4.0","Chinese (Traditional)","6280"
"798","CC BY-ND 4.0","Croatian","5050"
"799","CC BY-ND 4.0","Czech","4400"
"800","CC BY-ND 4.0","Danish","4090"
"801","CC BY-ND 4.0","Dutch","121000"
"802","CC BY-ND 4.0","English","107000000"
"803","CC BY-ND 4.0","Estonian","252"
"804","CC BY-ND 4.0","Finnish","6600"
"805","CC BY-ND 4.0","French","64400"
"806","CC BY-ND 4.0","German","87800"
"807","CC BY-ND 4.0","Greek","8770"
"808","CC BY-ND 4.0","Hebrew","382"
"809","CC BY-ND 4.0","Hungarian","6550"
"810","CC BY-ND 4.0","Icelandic","1450"
"811","CC BY-ND 4.0","Indonesian","89800"
"812","CC BY-ND 4.0","Italian","17200"
"813","CC BY-ND 4.0","Japanese","25200"
"814","CC BY-ND 4.0","Korean","13600"
"815","CC BY-ND 4.0","Latvian","188"
"816","CC BY-ND 4.0","Lithuanian","7310"
"817","CC BY-ND 4.0","Norwegian","4280"
"818","CC BY-ND 4.0","Polish","24000"
"819","CC BY-ND 4.0","Portuguese","122000"
"820","CC BY-ND 4.0","Romanian","3870"
"821","CC BY-ND 4.0","Russian","17500"
"822","CC BY-ND 4.0","Serbian","2290"
"823","CC BY-ND 4.0","Slovak","1160"
"824","CC BY-ND 4.0","Slovenian","9"
"825","CC BY-ND 4.0","Spanish","431000"
"826","CC BY-ND 4.0","Swedish","7740"
"827","CC BY-ND 4.0","Turkish","30000"
"828","CC BY-SA 4.0","Arabic","14300"
"829","CC BY-SA 4.0","Bulgarian","7710"
"830","CC BY-SA 4.0","Catalan","21800"
"831","CC BY-SA 4.0","Chinese (Simplified)","39300"
"832","CC BY-SA 4.0","Chinese (Traditional)","15000"
"833","CC BY-SA 4.0","Croatian","54900"
"834","CC BY-SA 4.0","Czech","49700"
"835","CC BY-SA 4.0","Danish","15900"
"836","CC BY-SA 4.0","Dutch","96600"
"837","CC BY-SA 4.0","English","171000000"
"838","CC BY-SA 4.0","Estonian","4760"
"839","CC BY-SA 4.0","Finnish","18900"
"840","CC BY-SA 4.0","French","350000"
"841","CC BY-SA 4.0","German","3520000"
"842","CC BY-SA 4.0","Greek","21600"
"843","CC BY-SA 4.0","Hebrew","8790"
"844","CC BY-SA 4.0","Hungarian","51600"
"845","CC BY-SA 4.0","Icelandic","6020"
"846","CC BY-SA 4.0","Indonesian","231000"
"847","CC BY-SA 4.0","Italian","292000"
"848","CC BY-SA 4.0","Japanese","112000"
"849","CC BY-SA 4.0","Korean","39800"
"850","CC BY-SA 4.0","Latvian","8700"
"851","CC BY-SA 4.0","Lithuanian","9290"
"852","CC BY-SA 4.0","Norwegian","38400"
"853","CC BY-SA 4.0","Polish","145000"
"854","CC BY-SA 4.0","Portuguese","735000"
"855","CC BY-SA 4.0","Romanian","29800"
"856","CC BY-SA 4.0","Russian","124000"
"857","CC BY-SA 4.0","Serbian","51400"
"858","CC BY-SA 4.0","Slovak","23400"
"859","CC BY-SA 4.0","Slovenian","89300"
"860","CC BY-SA 4.0","Spanish","5130000"
"861","CC BY-SA 4.0","Swedish","32600"
"862","CC BY-SA 4.0","Turkish","108000"
"863","PDM 1.0","Arabic","3700"
"864","PDM 1.0","Bulgarian","1480"
"865","PDM 1.0","Catalan","3620"
"866","PDM 1.0","Chinese (Simplified)","9530"
"867","PDM 1.0","Chinese (Traditional)","3990"
"868","PDM 1.0","Croatian","1980"
"869","PDM 1.0","Czech","10000"
"870","PDM 1.0","Danish","7040"
"871","PDM 1.0","Dutch","61900"
"872","PDM 1.0","English","8340000"
"873","PDM 1.0","Estonian","2470"
"874","PDM 1.0","Finnish","2320"
"875","PDM 1.0","French","61200"
"876","PDM 1.0","German","63800"
"877","PDM 1.0","Greek","10"
"878","PDM 1.0","Hebrew","2010"
"879","PDM 1.0","Hungarian","3660"
"880","PDM 1.0","Icelandic","470"
"881","PDM 1.0","Indonesian","6720"
"882","PDM 1.0","Italian","32900"
"883","PDM 1.0","Japanese","21500"
"884","PDM 1.0","Korean","6740"
"885","PDM 1.0","Latvian","558"
"886","PDM 1.0","Lithuanian","2940"
"887","PDM 1.0","Norwegian","5400"
"888","PDM 1.0","Polish","15200"
"889","PDM 1.0","Portuguese","16000"
"890","PDM 1.0","Romanian","3000"
"891","PDM 1.0","Russian","18300"
"892","PDM 1.0","Serbian","1880"
"893","PDM 1.0","Slovak","1500"
"894","PDM 1.0","Slovenian","1650"
"895","PDM 1.0","Spanish","43800"
"896","PDM 1.0","Swedish","32300"
"897","PDM 1.0","Turkish","3930"
"898","CC0 1.0","Arabic","7690"
"899","CC0 1.0","Bulgarian","2610"
"900","CC0 1.0","Catalan","5120"
"901","CC0 1.0","Chinese (Simplified)","11900"
"902","CC0 1.0","Chinese (Traditional)","5810"
"903","CC0 1.0","Croatian","4590"
"904","CC0 1.0","Czech","17500"
"905","CC0 1.0","Danish","15500"
"906","CC0 1.0","Dutch","90800"
"907","CC0 1.0","English","29900000"
"908","CC0 1.0","Estonian","3690"
"909","CC0 1.0","Finnish","6790"
"910","CC0 1.0","French","65200"
"911","CC0 1.0","German","99700"
"912","CC0 1.0","Greek","6140"
"913","CC0 1.0","Hebrew","3090"
"914","CC0 1.0","Hungarian","8060"
"915","CC0 1.0","Icelandic","1300"
"916","CC0 1.0","Indonesian","9570"
"917","CC0 1.0","Italian","51700"
"918","CC0 1.0","Japanese","25200"
"919","CC0 1.0","Korean","8450"
"920","CC0 1.0","Latvian","1730"
"921","CC0 1.0","Lithuanian","3790"
"922","CC0 1.0","Norwegian","6470"
"923","CC0 1.0","Polish","25000"
"924","CC0 1.0","Portuguese","28800"
"925","CC0 1.0","Romanian","6090"
"926","CC0 1.0","Russian","37100"
"927","CC0 1.0","Serbian","15600"
"928","CC0 1.0","Slovak","3550"
"929","CC0 1.0","Slovenian","2470"
"930","CC0 1.0","Spanish","77000"
"931","CC0 1.0","Swedish","43700"
"932","CC0 1.0","Turkish","6080"
