LICENSE TYPE,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Bouvet Island,Brazil,British Indian Ocean Territory,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Congo,Congo  the Democratic Republic of the,Cook Islands,Costa Rica,Cote D'ivoire,Croatia (Hrvatska),Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,East Timor,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,European Union,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,France  Metropolitan,French Guiana,French Polynesia,French Southern Territories,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Heard Island and Mcdonald Islands,Holy See (Vatican City State),Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran  Islamic Republic of,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea  Democratic People's Republic of,Korea  Republic of,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libyan Arab Jamahiriya,Liechtenstein,Lithuania,Luxembourg,Macao,Macedonia  the Former Yugosalv Republic of,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia  Federated States of,Moldova  Republic of,Monaco,Mongolia,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestinian Territory,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia and Montenegro,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Georgia and the South Sandwich Islands,Spain,Sri Lanka,Sudan,Suriname,Svalbard and Jan Mayen,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Taiwan  Province of China,Tajikistan,Tanzania  United Republic of,Thailand,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,United States Minor Outlying Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Virgin Islands  British,Virgin Islands  U.S.,Wallis and Futuna,Western Sahara,Yemen,Yugoslavia,Zambia,Zimbabwe
all,728,992,1870,2,5,569,803,7,25,149000,22100,1,321000,33900,2210,5,109,2060,34,901,170000,9,1690,5,6280,26000,3470,733,0,1310000,0,449,14800,1160,6,6130,3650,685000,8,1,8,2,329000,61600,9,0,189000,0,1,6,4,18900,7,24300,34800,9130,90300,47600,1,10,978,0,20100,13700,1640,4,0,3030,728,0,3,134,552,52300,6690000,0,10,5,0,5,23,2500,8600000,2170,133,18300,146,12900,2,9,6660,0,0,21,69,1,27,1800,52100,37300,13200,242000,275000,136000,7370,158000,30000,287000,1440,121000,745,6170,25000,8,0,207000,270,2680,19,4350,2780,950,1,1610,185,13000,6620,751,2320,3350,72,27100,431,3200,499,0,924,7,120,8,318000,9,7040,25,2860,4,963,102,837,3800,2,5850,479000,0,326,71100,514,5,50700,1,2,3,32000,1340,11500,6,561000,9440,354,28700,95200,16300,0,300000,24900,429,2210,186,13500,157000,2990,45,7,27,50,5,2,9,66,15300,1700,415000000,8,113,79200,11500,10200,54,9,186000,3,293000,3570,491,4,0,5010,103000,228000,124,18700,386,6730,16300,147,0,1010,253,1710,66800,492,4,0,4270,34200,9110,12500000,352000000,0,13000,2610,2770,2030,943000,6730,121,2,0,32,0,297,7100
All Documents,446000,949000,1330000,551,101000,649000,431000,11100,16700,9730000,538000,10300,8370000,3490000,1150000,163000,526000,1130000,35000,1230000,2870000,12500,507000,324000,2350000,1350000,739000,165000,7,27300000,5,86700,3610000,541000,46300,8550000,577000,15000000,299000,30300,20500,5370,4240000,582000000,2640000,10,6250000,1780,91000,12200,8,904000,791000,1500000,51000,1280000,5980000,2530000,3210,6960,2430000,0,2840000,1790000,675000,20400,30,1370000,113000,0,1570,108000,4070000,2680000,34600000,0,24500,192000,22000,230000,7680,2070000,40600000,1370000,302000,3530000,28900,40800,23600,27600,1160000,3960,1990,34900,40000,175,22900,904000,93800000,3540000,2280000,66300000,26900000,59300000,563000,3940000,2290000,32300000,627000,319000000,537000,1050000,2920000,487,125,63400000,661000,557000,208000,1190000,531000,2940000,3080,1020000,5010000,1710000,1970000,1530000,1120000,553000,509000,6680000,383000,8,519000,664,67300,71200,777000,39800,12100000,10,1870000,22900,1260000,620,1030000,2160000,189000,696000,1990,2810000,19800000,67,182000,3330000,567000,12900,2730000,10,4740,2550,4940000,819000,2280000,1750000,1070000,1000000,284000,1480000,3030000,8430000,833,12200000,3730000,230000,1990000,245000,3750000,30400000,514000,71000,1230,66200,487000,3150000,1060,15200,54500,2950000,946000,8490000000,115000,266000,14700000,4300000,1420000,29300,851000,3790000,52400,21600000,1810000,395000,6110,1,227000,6030000,6420000,142000,66900000,997000,288000,43500000,213000,6,1390000,564000,839000,9310000,101000,41400,22,1010000,4710000,2460000,31300000,3760000000,2030,1930000,1340000,28300,2110000,18500000,1710000,13800,405,15,328000,0,1160000,1250000
