"UNIT_CODE","DATA_SOURCE","CC0_RECORDS","CC0_RECORDS_WITH_CC0_MEDIA","TOTAL_OBJECTS"
"AAA","Archives of American Art","467814","0","4959240"
"AAG","Archives of American Gardens","62996","0","69167"
"ACAH","Archives Center, National Museum of American History","680572","0","726338"
"ACM","Anacostia Community Museum Archives","14647","247","69612"
"ACMA","Anacostia Community Museum Archives","14397","0","18316"
"CFCHFOLKLIFE","Ralph Rinzler Folklife Archives and Collections","97203","0","98177"
"CHNDM","Cooper Hewitt, Smithsonian Design Museum","58174","54606","201607"
"CHSDM","Cooper Hewitt, Smithsonian Design Museum","445","0","304666"
"EEPA","Eliot Elisofon Photographic Archives, National Museum of African Art","128292","0","128292"
"FBR","Smithsonian Field Book Project","1517","37","11248"
"FSA","National Museum of Asian Art Archives","36847","0","36847"
"FSG","National Museum of Asian Art","4719","4713","105488"
"HAC","Smithsonian Gardens","430","430","1437"
"HMSG","Hirshhorn Museum and Sculpture Garden","449","449","25427"
"HSFA","Human Studies Film Archives","8476","0","8775"
"NAA","National Anthropological Archives","246676","0","258104"
"NASM","National Air and Space Museum Archives","243593","989","2323527"
"NASMAC","National Air and Space Museum Archives","242580","0","242580"
"NMAAHC","National Museum of African American History and Culture","37771","4578","4401555"
"NMAH","National Museum of American History","1319548","10775","2920445"
"NMAI","National Museum of the American Indian","271039","180","426444"
"NMAIA","National Museum of the American Indian","33409","0","33409"
"NMAfA","National Museum of African Art","113","113","128894"
"NMNHANTHRO","NMNH - Anthropology Dept.","497756","0","497756"
"NMNHBIRDS","NMNH - Vertebrate Zoology - Birds Division","635288","559105","635288"
"NMNHBOTANY","NMNH - Botany Dept.","4567127","3578195","4567127"
"NMNHEDUCATION","NMNH - Education & Outreach","6473","4090","6473"
"NMNHENTO","NMNH - Entomology Dept.","737717","197231","737717"
"NMNHFISHES","NMNH - Vertebrate Zoology - Fishes Division","502761","10818","502761"
"NMNHHERPS","NMNH - Vertebrate Zoology - Herpetology Division","632082","2359","632082"
"NMNHINV","NMNH - Invertebrate Zoology Dept.","2005005","70783","2005005"
"NMNHMAMMALS","NMNH - Vertebrate Zoology - Mammals Division","626184","542053","626184"
"NMNHMINSCI","NMNH - Mineral Sciences Dept.","465356","11311","465356"
"NMNHPALEO","NMNH - Paleobiology Dept.","745987","97201","745987"
"NPG","Catalog of American Portraits","16169","14608","170946"
"NPM","National Postal Museum","12898","8571","133632"
"NPMA","National Postal Museum Archives","1426","0","1426"
"NZP","National Zoo","1061","1061","5928"
"OCIO_DPO3D","NMNH - Vertebrate Zoology - Mammals Division","108","3605","4260"
"OFEO-SG","Smithsonian Gardens","5727","3660","7522"
"SAAM","Photograph Study Collection, Smithsonian American Art Museum","17275","12987","361941"
"SAAMPAIK","Smithsonian American Art Museum, Research and Scholars Center","410","0","410"
"SIA","Smithsonian Institution Archives","898570","5477","1561849"
"SIL","Smithsonian Libraries","1036133","13567","1195734"
"SILAF","Smithsonian Libraries","63416","0","63416"
"SILNMAHTL","Smithsonian Libraries","34577","0","34577"
"SLA_SRO","Smithsonian Libraries and Archives","104811","0","104811"
