,k = 1,k = 2,k = 3
count,100.0,100.0,100.0
mean,0.3333333333333334,0.7230000000000001,0.8248814814814815
std,1.1158161231197418e-16,0.007906406135818533,0.00839116236105764
min,0.3333333333333333,0.7037037037037037,0.8081481481481482
25%,0.3333333333333333,0.717037037037037,0.8185185185185185
50%,0.3333333333333333,0.7229629629629629,0.8244444444444444
75%,0.3333333333333333,0.7283333333333333,0.8296296296296296
max,0.3333333333333333,0.7459259259259259,0.8466666666666667
