,k = 1,k = 2,k = 3
count,100.0,100.0,100.0
mean,0.5884296296296295,0.8542962962962961,0.9422814814814815
std,0.008551898684519114,0.005787285815827339,0.004477591816681374
min,0.5637037037037037,0.8392592592592593,0.9311111111111111
25%,0.5827777777777778,0.8496296296296296,0.9392592592592592
50%,0.5881481481481482,0.8544444444444445,0.9414814814814815
75%,0.5942592592592593,0.8585185185185186,0.9451851851851852
max,0.6088888888888889,0.8681481481481481,0.9548148148148148
