,k = 1,k = 2,k = 3
count,100.0,100.0,100.0
mean,0.5343851851851852,0.7610962962962964,0.8737185185185186
std,0.00959080492423082,0.007569846303304945,0.005267877838300848
min,0.5014814814814815,0.7429629629629629,0.8614814814814815
25%,0.5281481481481481,0.7555555555555555,0.8696296296296296
50%,0.534074074074074,0.7607407407407407,0.8733333333333333
75%,0.54,0.7659259259259259,0.8770370370370371
max,0.5562962962962963,0.7807407407407407,0.8903703703703704
