,k = 1,k = 2,k = 3
count,100.0,100.0,100.0
mean,0.9977777777777779,0.9992592592592596,1.0
std,1.1158161231197418e-16,3.3474483693592255e-16,0.0
min,0.9977777777777778,0.9992592592592593,1.0
25%,0.9977777777777778,0.9992592592592593,1.0
50%,0.9977777777777778,0.9992592592592593,1.0
75%,0.9977777777777778,0.9992592592592593,1.0
max,0.9977777777777778,0.9992592592592593,1.0
